회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS),자산(*)(IFRS),당기순이익(손실)(IFRS),현금및현금성자산(*)(IFRS),금융비용(IFRS),부채(*)(IFRS),자본(*)(IFRS),판매비와 관리비(물류원가 등 포함)(*)(IFRS),비유동자산(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS),기타(영업)비용(*)(IFRS),이익잉여금(결손금)(*)(IFRS)
(주)CMG제약,058820,2019/12,58622681,192243166,3051177,18579821,0,12084883,180158283,26318857,41659100,2603774,0,5054709
(주)ES큐브,050120,2019/12,28527284,136065488,-12738710,13606557,0,82079157,53986331,5231167,111767027,587700,0,4184768
(주)가비아,079940,2019/12,58254105,82964911,4654769,9410304,0,28880845,54084066,18832896,69362039,4889113,0,47374904
(주)강스템바이오텍,217730,2019/12,282069,98625925,-25001590,4958531,0,27780716,70845209,19551777,48489912,-19411148,0,-76692655
(주)강원에너지,114190,2019/12,42549622,55106032,-33460765,3441069,0,32201998,22904034,11011297,24759583,-17150531,0,-7611776
(주)고려시멘트,198440,2019/12,70921781,127035573,3396444,4440035,0,38590195,88445378,5781918,80444290,-459627,0,38016547
(주)고영테크놀러지,098460,2019/12,209480760,308020011,34702997,21194543,0,55999383,252020628,87820454,78806535,40057965,0,217897927
(주)골드앤에스,035290,2019/12,7642733,16096170,-24883215,758085,0,21097263,-5001092,8491730,12185981,-7142117,0,-54455964
(주)골드퍼시픽,038530,2019/12,11323125,72945743,-31603970,6350030,0,51876425,21069318,6714790,44490596,-3421041,0,-36661189
(주)골프존,215000,2019/12,239051647,304860836,19704546,6842583,0,99331248,205529589,106388878,234369497,36199059,0,124246070
(주)골프존뉴딘홀딩스,121440,2019/12,26897482,537526345,-30341791,9703734,0,87456888,450069457,19492596,506829775,-17956208,0,142810704
(주)광림,014200,2019/12,93241157,193568854,-68290742,14218915,0,132819619,60749234,10806603,111000509,3819332,0,-11909222
(주)광무,029480,2019/12,25244176,57156720,-6275093,14010999,0,34954525,22202195,6630498,23923134,-2260048,0,-12023940
(주)구스앤홈,329050,2019/12,,,,,,,,,,,,
(주)구영테크,053270,2019/12,93132845,141034767,1558141,3697737,0,82365983,58668784,10845074,103515092,2513647,0,26961822
(주)국보디자인,066620,2019/12,237054909,197762410,9509021,8534734,0,85686398,112076012,15432607,27805919,10506065,0,103429292
(주)국순당,043650,2019/12,48045002,210006510,571892,27595557,0,13082667,196923842,22649089,149075528,-5440912,0,166678095
(주)국영지앤엠,006050,2019/12,73013468,68657302,1089819,9462857,0,15830851,52826451,2300874,36588978,991045,0,20943044
(주)국전약품,307750,2019/12,,,,,,,,,,,,
(주)그래디언트,035080,2019/12,8719700,336145750,4125060,15603,0,16057558,320088192,4931326,335937746,3788374,0,209806283
(주)그리티,204020,2019/12,120984485,86803901,2627015,387547,0,11970153,74833748,62138199,18192209,4418702,0,40929259
(주)그린플러스,186230,2019/12,39502728,56587945,2435883,5627371,0,19815070,36772875,4040124,28013274,3430717,0,12486033
(주)글로벌스탠다드테크놀로지,083450,2019/12,150777009,120984040,17027156,17494536,0,30580877,90403163,34811543,42784668,22053993,0,78217104
(주)금빛,045890,2019/12,55240846,101724359,-38888741,3488169,0,69529324,32195035,24244200,64754678,-16662557,0,-46175836
(주)금화피에스시,036190,2019/12,179177462,255149491,25283209,23669371,0,27406945,227742546,7147968,103087642,30433094,0,218488034
(주)기가레인,049080,2019/12,63361399,115539385,-44243046,4703325,0,87651745,27887641,13900229,55415041,-26726549,0,-68729057
(주)기산텔레콤,035460,2019/12,30545683,40025881,2205257,13458087,0,8645985,31379895,5163779,17439970,2565963,0,-17084821
(주)까스텔바작,308100,2019/12,81068234,88614189,7090294,15070073,0,11301641,77312548,40579311,22426609,9287318,0,23071292
(주)나노,187790,2019/12,38421023,73016346,475680,6895910,0,25023622,47992724,3637495,46265482,1381812,0,10930742
(주)나노브릭,286750,2019/12,7775408,24551526,-763049,906003,0,10401714,14149812,3413171,12837283,-1512607,0,-21217693
(주)나노신소재,121600,2019/12,48892961,101777474,5848754,10560397,0,8002613,93774861,14126164,29309167,5191475,0,51454710
