회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결),자산(*)(IFRS연결),당기순이익(손실)(IFRS연결),현금및현금성자산(*)(IFRS연결),금융비용(IFRS연결),부채(*)(IFRS연결),자본(*)(IFRS연결),* (정상)영업손익(보고서기재)(IFRS연결),판매비와 관리비(물류원가 등 포함)(*)(IFRS연결),비유동자산(*)(IFRS연결),이익잉여금(*)(연결),기타(영업)비용(*)(IFRS연결)
(주)CMG제약,058820,2019/12,58622681,192243166,3051177,18579821,0,12084883,180158283,2603774,26318857,41659100,5054709,0
(주)ES큐브,050120,2019/12,43708239,463958680,-13767748,111347468,6734172,389920168,74038512,-2617071,10814519,104927987,6015932,0
(주)가비아,079940,2019/12,148306878,199916131,21102390,28753330,0,64956993,134959139,23736596,48919898,113035325,70637536,0
(주)강스템바이오텍,217730,2019/12,6004584,113643697,-26394472,7680863,0,44924460,68719236,-23153708,22729347,58235602,-77231627,0
(주)강원에너지,114190,2019/12,42549622,56602063,-35647438,3637753,0,35477506,21124556,-17175963,11036729,26057831,-8042133,0
(주)고려시멘트,198440,2019/12,,,,,,,,,,,,
(주)고영테크놀러지,098460,2019/12,222057035,305481184,29559680,27196310,0,61812656,243668528,33331312,107860718,79683935,209875241,0
(주)골드앤에스,035290,2019/12,7642733,16096170,-24883278,758085,0,21187743,-5091573,-7142117,8491730,12185981,-54531706,0
(주)골드퍼시픽,038530,2019/12,,,,,,,,,,,,
(주)골프존,215000,2019/12,247018099,312587283,16213888,15998293,0,112544404,200042879,32297494,120861039,230856814,127176545,0
(주)골프존뉴딘홀딩스,121440,2019/12,228935651,776384700,-34848135,33530564,0,329187192,447197508,-3625436,91951161,650668195,142441158,0
(주)광림,014200,2019/12,145864184,252468254,-14006972,17865642,0,161696117,90772137,-10983157,21882738,137941785,-11628397,0
(주)광무,029480,2019/12,36483979,63139837,-6421201,17184794,0,40295715,22844122,-3012624,17625827,23832076,-12004089,0
(주)구스앤홈,329050,2019/12,,,,,,,,,,,,
(주)구영테크,053270,2019/12,230853336,206569873,3387486,6189218,0,134865616,71704257,5239175,16946995,136404800,39787082,0
(주)국보디자인,066620,2019/12,269005976,222514980,15942956,15351377,0,99151096,123363884,11557298,20685006,27696389,115352984,0
(주)국순당,043650,2019/12,102095769,252484287,-8269903,36376370,0,47525638,204958649,-5966921,34397559,173649732,169711448,0
(주)국영지앤엠,006050,2019/12,,,,,,,,,,,,
(주)국전약품,307750,2019/12,,,,,,,,,,,,
(주)그래디언트,035080,2019/12,3412333826,1780051911,6507368,143135378,0,1110465400,669586510,45164129,333768264,573250573,158093092,0
(주)그리티,204020,2019/12,123079831,92151596,1563323,1068615,0,17970493,74181103,2913982,63757899,9547763,39800315,0
(주)그린플러스,186230,2019/12,48831866,72321985,2533086,4837160,0,34930648,37391337,5077238,4374729,33841966,12461163,0
(주)글로벌스탠다드테크놀로지,083450,2019/12,168231754,136751562,17968416,25567080,0,33440861,103310701,21908352,44435955,47773118,87791080,0
(주)금빛,045890,2019/12,58651417,102849215,-36823868,4129132,0,71819944,31029271,-16108710,24945329,65510872,-48599083,0
(주)금화피에스시,036190,2019/12,209435314,281692946,27677441,32113492,0,42283315,239409631,34327291,9314629,97683763,230046722,0
(주)기가레인,049080,2019/12,72769411,117798198,-46059977,5853130,0,89733582,28064616,-29598747,16912543,57664364,-68931678,0
(주)기산텔레콤,035460,2019/12,67054955,66789756,3498486,14470449,0,32098792,34690964,3995820,10390345,17736109,-16929631,0
