,회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS),매출액(수익)(*)(IFRS연결),매출액증가율
0,(주)CMG제약,58820,16-Dec,32969825,32969825,
1,(주)CMG제약,58820,17-Dec,41535588,41535588,25.98061409
2,(주)ES큐브,50120,16-Dec,34818205,34289385,
3,(주)ES큐브,50120,17-Dec,37104908,35745794,4.247404846
4,(주)가비아,79940,16-Dec,49430564,102178978,
5,(주)가비아,79940,17-Dec,52365659,116217941,13.73958056
6,(주)강스템바이오텍,217730,16-Dec,842805,842805,
7,(주)강스템바이오텍,217730,17-Dec,5394323,9132939,983.6360724
8,(주)강원에너지,114190,16-Dec,44448760,42287473,
9,(주)강원에너지,114190,17-Dec,83113029,82034829,93.99321638
10,(주)고려시멘트,198440,16-Dec,,0,
11,(주)고려시멘트,198440,17-Dec,87660276,87660276,inf
12,(주)고영테크놀러지,98460,16-Dec,153254768,171793841,
13,(주)고영테크놀러지,98460,17-Dec,188934907,203368626,18.37946274
14,(주)골드앤에스,35290,16-Dec,15893494,15893494,
15,(주)골드앤에스,35290,17-Dec,12802035,12802035,-19.45109741
16,(주)골드퍼시픽,38530,16-Dec,9588100,9588100,
17,(주)골드퍼시픽,38530,17-Dec,5031439,5031439,-47.52412887
18,(주)골프존,215000,16-Dec,196864993,216964342,
19,(주)골프존,215000,17-Dec,171859065,200105321,-7.770410955
20,(주)골프존뉴딘홀딩스,121440,16-Dec,27652102,243275475,
21,(주)골프존뉴딘홀딩스,121440,17-Dec,23499543,213756902,-12.13380551
22,(주)광림,14200,16-Dec,87302967,87302967,
23,(주)광림,14200,17-Dec,99421336,135191558,54.85333734
24,(주)광무,29480,16-Dec,26429957,26429957,
25,(주)광무,29480,17-Dec,21540953,21540953,-18.49796426
26,(주)구영테크,53270,16-Dec,75320433,148301597,
27,(주)구영테크,53270,17-Dec,74298129,149833357,1.032868176
28,(주)국보디자인,66620,16-Dec,191620729,201410031,
29,(주)국보디자인,66620,17-Dec,262522024,270658405,34.38179005
30,(주)국순당,43650,16-Dec,68425801,69701266,
31,(주)국순당,43650,17-Dec,60087461,62761236,-9.956820583
32,(주)국영지앤엠,6050,16-Dec,51456556,51456556,
33,(주)국영지앤엠,6050,17-Dec,62861661,62861661,22.16453235
34,(주)그래디언트,35080,16-Dec,16516754,3845761388,
35,(주)그래디언트,35080,17-Dec,12485184,3541486629,-7.911951063
36,(주)글로벌스탠다드테크놀로지,83450,16-Dec,81859588,90819412,
37,(주)글로벌스탠다드테크놀로지,83450,17-Dec,154761834,162835484,79.29590207
38,(주)금빛,45890,16-Dec,67258801,75658000,
39,(주)금빛,45890,17-Dec,65805697,72904350,-3.639601893
40,(주)금화피에스시,36190,16-Dec,201547339,235018376,
41,(주)금화피에스시,36190,17-Dec,174993150,205781841,-12.44010596
42,(주)기가레인,49080,16-Dec,70397030,75445071,
43,(주)기가레인,49080,17-Dec,89874499,100131227,32.72070087
44,(주)기산텔레콤,35460,16-Dec,24679656,59172319,
45,(주)기산텔레콤,35460,17-Dec,29568090,63467585,7.258911046
46,(주)나노,187790,16-Dec,18480121,48175171,
47,(주)나노,187790,17-Dec,29944292,73089292,51.71568773
48,(주)나노신소재,121600,16-Dec,41111800,41111800,
49,(주)나노신소재,121600,17-Dec,45568866,45568866,10.84133023
50,(주)나노엔텍,39860,16-Dec,19928840,22205895,
51,(주)나노엔텍,39860,17-Dec,22133358,23809593,7.221947145
52,(주)나무가,190510,16-Dec,189575941,292613003,
53,(주)나무가,190510,17-Dec,169353908,257564977,-11.97760374
54,(주)나스미디어,89600,16-Dec,61749724,69943009,
55,(주)나스미디어,89600,17-Dec,84283178,120275391,71.96199123
56,(주)나이벡,138610,16-Dec,4804232,4804232,
57,(주)나이벡,138610,17-Dec,6302575,6302575,31.18798176
58,(주)나이스디앤비,130580,16-Dec,24018056,33964917,
59,(주)나이스디앤비,130580,17-Dec,32327045,42282947,24.49006426
60,(주)나인테크,267320,17-Dec,,0,
61,(주)내츄럴엔도텍,168330,16-Dec,6556020,6556020,
62,(주)내츄럴엔도텍,168330,17-Dec,9238808,9238808,40.9209856
63,(주)네오리진,94860,16-Dec,10654596,10654596,
64,(주)네오리진,94860,17-Dec,9032026,9263380,-13.05742611
65,(주)네오오토,212560,16-Dec,140544448,140544448,
66,(주)네오오토,212560,17-Dec,128249343,128249343,-8.748196869
67,(주)네오위즈,95660,16-Dec,117653566,191038418,
68,(주)네오위즈,95660,17-Dec,106849588,174045348,-8.895106114
69,(주)네오위즈홀딩스,42420,16-Dec,543311,201698095,
70,(주)네오위즈홀딩스,42420,17-Dec,551698,184864190,-8.34609023
71,(주)네오티스,85910,16-Dec,40161938,40161938,
72,(주)네오티스,85910,17-Dec,43473210,43473210,8.244801334
73,(주)네오팜,92730,16-Dec,42257057,42368623,
74,(주)네오팜,92730,17-Dec,53553213,53633507,26.58779824
75,(주)네이블커뮤니케이션즈,153460,16-Dec,21590435,21590435,
76,(주)네이블커뮤니케이션즈,153460,17-Dec,13473262,13473262,-37.59615311
77,(주)네이처셀,7390,16-Dec,26787767,26787767,
78,(주)네이처셀,7390,17-Dec,27215252,27215252,1.595821705
79,(주)네패스,33640,16-Dec,223644590,254535006,
80,(주)네패스,33640,17-Dec,261721389,285034101,11.98227917
81,(주)넥스턴바이오사이언스,89140,16-Dec,74373034,74373034,
82,(주)넥스턴바이오사이언스,89140,17-Dec,43707618,43707618,-41.23190134
83,(주)넥스트아이,137940,16-Dec,22779239,39439948,
84,(주)넥스트아이,137940,17-Dec,26394171,59482937,50.81900463
85,(주)넥스트엔터테인먼트월드,160550,16-Dec,103941613,125723993,
86,(주)넥스트엔터테인먼트월드,160550,17-Dec,57004350,94538544,-24.80469181
87,(주)넥슨게임즈,225570,16-Dec,,0,
88,(주)넥슨게임즈,225570,17-Dec,22407505,22407505,inf
89,(주)넵튠,217270,16-Dec,7345180,18335549,
