,회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS),매출액(수익)(*)(IFRS연결),매출액증가율2019
0,(주)CMG제약,58820,18-Dec,49864782,49864782,
1,(주)CMG제약,58820,19-Dec,58622681,58622681,17.56329547
2,(주)ES큐브,50120,18-Dec,31308873,33763508,
3,(주)ES큐브,50120,19-Dec,28527284,43708239,29.45408102
4,(주)가비아,79940,18-Dec,55197652,128728438,
5,(주)가비아,79940,19-Dec,58254105,148306878,15.20910244
6,(주)강스템바이오텍,217730,18-Dec,1001039,9165454,
7,(주)강스템바이오텍,217730,19-Dec,282069,6004584,-34.48678047
8,(주)강원에너지,114190,18-Dec,85905365,85905365,
9,(주)강원에너지,114190,19-Dec,42549622,42549622,-50.4691913
10,(주)고려시멘트,198440,18-Dec,85775723,85775723,
11,(주)고려시멘트,198440,19-Dec,70921781,70921781,-17.31718659
12,(주)고영테크놀러지,98460,18-Dec,219818022,238208865,
13,(주)고영테크놀러지,98460,19-Dec,209480760,222057035,-6.780532706
14,(주)골드앤에스,35290,18-Dec,8680452,8680452,
15,(주)골드앤에스,35290,19-Dec,7642733,7642733,-11.95466549
16,(주)골드퍼시픽,38530,18-Dec,5580994,5708281,
17,(주)골드퍼시픽,38530,19-Dec,11323125,11323125,98.36313244
18,(주)골프존,215000,18-Dec,191571105,198705194,
19,(주)골프존,215000,19-Dec,239051647,247018099,24.31386117
20,(주)골프존뉴딘홀딩스,121440,18-Dec,16100354,223036801,
21,(주)골프존뉴딘홀딩스,121440,19-Dec,26897482,228935651,2.644787754
22,(주)광림,14200,18-Dec,75493055,136595300,
23,(주)광림,14200,19-Dec,93241157,145864184,6.785653679
24,(주)광무,29480,18-Dec,20707286,23074941,
25,(주)광무,29480,19-Dec,25244176,36483979,58.11082247
26,(주)구스앤홈,329050,18-Dec,,0,
27,(주)구스앤홈,329050,19-Dec,,0,
28,(주)구영테크,53270,18-Dec,81928926,195238339,
29,(주)구영테크,53270,19-Dec,93132845,230853336,18.24180496
30,(주)국보디자인,66620,18-Dec,231093439,254259835,
31,(주)국보디자인,66620,19-Dec,237054909,269005976,5.799634457
32,(주)국순당,43650,18-Dec,52679104,61496072,
33,(주)국순당,43650,19-Dec,48045002,102095769,66.01998417
34,(주)국영지앤엠,6050,18-Dec,56301480,56301480,
35,(주)국영지앤엠,6050,19-Dec,73013468,73013468,29.68303498
36,(주)국전약품,307750,18-Dec,,0,
37,(주)국전약품,307750,19-Dec,,0,
38,(주)그래디언트,35080,18-Dec,12237889,3440906300,
39,(주)그래디언트,35080,19-Dec,8719700,3412333826,-0.830376404
40,(주)그리티,204020,18-Dec,117056356,119259702,
41,(주)그리티,204020,19-Dec,120984485,123079831,3.203201866
42,(주)그린플러스,186230,18-Dec,42150610,46357455,
43,(주)그린플러스,186230,19-Dec,39502728,48831866,5.33767654
44,(주)글로벌스탠다드테크놀로지,83450,18-Dec,115619452,129850197,
45,(주)글로벌스탠다드테크놀로지,83450,19-Dec,150777009,168231754,29.55833559
46,(주)금빛,45890,18-Dec,50396516,53162303,
47,(주)금빛,45890,19-Dec,55240846,58651417,10.32519979
48,(주)금화피에스시,36190,18-Dec,202098199,233326733,
49,(주)금화피에스시,36190,19-Dec,179177462,209435314,-10.23946922
50,(주)기가레인,49080,18-Dec,114668638,124772205,
51,(주)기가레인,49080,19-Dec,63361399,72769411,-41.67818786
52,(주)기산텔레콤,35460,18-Dec,24864346,56445716,
53,(주)기산텔레콤,35460,19-Dec,30545683,67054955,18.79547245
54,(주)까스텔바작,308100,18-Dec,92092225,92346623,
55,(주)까스텔바작,308100,19-Dec,81068234,81358617,-11.89865492
56,(주)나노,187790,18-Dec,34238747,81942719,
57,(주)나노,187790,19-Dec,38421023,73694955,-10.06527987
58,(주)나노브릭,286750,18-Dec,7186469,7186469,
59,(주)나노브릭,286750,19-Dec,7775408,7775408,8.195109448
60,(주)나노신소재,121600,18-Dec,52249960,52249960,
61,(주)나노신소재,121600,19-Dec,48892961,48892961,-6.424883387
62,(주)나노엔텍,39860,18-Dec,24871160,25796821,
63,(주)나노엔텍,39860,19-Dec,25099090,26255836,1.779347153
64,(주)나무가,190510,18-Dec,199656907,312824892,
65,(주)나무가,190510,19-Dec,275379664,362063863,15.74010645
66,(주)나스미디어,89600,18-Dec,71877991,106607030,
67,(주)나스미디어,89600,19-Dec,78372579,117006838,9.755274113
68,(주)나이벡,138610,18-Dec,5207877,5207877,
69,(주)나이벡,138610,19-Dec,9287488,9287488,78.33539463
70,(주)나이스디앤비,130580,18-Dec,42167015,52040929,
71,(주)나이스디앤비,130580,19-Dec,50280560,77330430,48.59540651
72,(주)나인테크,267320,18-Dec,,0,
73,(주)나인테크,267320,19-Dec,,0,
74,(주)내츄럴엔도텍,168330,18-Dec,8892649,8928362,
75,(주)내츄럴엔도텍,168330,19-Dec,6615116,6580460,-26.29711923
76,(주)네오리진,94860,18-Dec,9064462,9064462,
77,(주)네오리진,94860,19-Dec,11270250,11270250,24.33446133
78,(주)네오셈,253590,18-Dec,,0,
79,(주)네오셈,253590,19-Dec,25334754,27225588,inf
80,(주)네오오토,212560,18-Dec,115243742,115243742,
81,(주)네오오토,212560,19-Dec,118441501,118441501,2.774778868
82,(주)네오위즈,95660,18-Dec,155574255,215490230,
83,(주)네오위즈,95660,19-Dec,202617148,254498033,18.10188935
84,(주)네오위즈홀딩스,42420,18-Dec,693917,228327081,
