회사명,거래소코드,회계년도,매출총이익(손실)(IFRS연결),매출액(수익)(*)(IFRS연결),매출총이익(손실)(IFRS),매출액(수익)(*)(IFRS),매출액총이익률
(주)CMG제약,58820,16-Dec,13306436,32969825,13306436,32969825,
(주)CMG제약,58820,17-Dec,18038036,41535588,18038036,41535588,43.42790573
(주)ES큐브,50120,16-Dec,9834937,34289385,6349317,34818205,28.68216213
(주)ES큐브,50120,17-Dec,9687855,35745794,6607652,37104908,27.10208367
(주)가비아,79940,16-Dec,47180360,102178978,20627936,49430564,46.17423361
(주)가비아,79940,17-Dec,55904577,116217941,21803859,52365659,48.10322444
(주)강스템바이오텍,217730,16-Dec,785117,842805,785117,842805,93.15523757
(주)강스템바이오텍,217730,17-Dec,3258892,9132939,2991763,5394323,35.68283988
(주)강원에너지,114190,16-Dec,7017196,42287473,7241971,44448760,16.5940301
(주)강원에너지,114190,17-Dec,865112,82034829,865112,83113029,1.054566713
(주)고려시멘트,198440,16-Dec,0,0,,,#DIV/0!
(주)고려시멘트,198440,17-Dec,11685674,87660276,11685674,87660276,13.33063793
(주)고영테크놀러지,98460,16-Dec,107937705,171793841,92068668,153254768,62.82978736
(주)고영테크놀러지,98460,17-Dec,131469104,203368626,115295604,188934907,64.6457158
(주)골드앤에스,35290,16-Dec,6545741,15893494,6256607,15893494,41.18503458
(주)골드앤에스,35290,17-Dec,4799349,12802035,4581274,12802035,37.4889539
(주)골드퍼시픽,38530,16-Dec,1471746,9588100,1471746,9588100,15.34971475
(주)골드퍼시픽,38530,17-Dec,3042558,5031439,3042558,5031439,60.47093088
(주)골프존,215000,16-Dec,129536433,216964342,121273247,196864993,59.70401947
(주)골프존,215000,17-Dec,131068915,200105321,110150500,171859065,65.49996489
(주)골프존뉴딘홀딩스,121440,16-Dec,117073992,243275475,27139522,27652102,48.1240421
(주)골프존뉴딘홀딩스,121440,17-Dec,100778123,213756902,22818357,23499543,47.14613753
(주)광림,14200,16-Dec,12300668,87302967,12300668,87302967,14.0896334
(주)광림,14200,17-Dec,4031184,135191558,15291059,99421336,2.981831158
(주)광무,29480,16-Dec,4677726,26429957,4677726,26429957,17.6985759
(주)광무,29480,17-Dec,4037770,21540953,4037770,21540953,18.744621
(주)구영테크,53270,16-Dec,22520492,148301597,13927044,75320433,15.18560316
(주)구영테크,53270,17-Dec,22734244,149833357,12562417,74298129,15.17301918
(주)국보디자인,66620,16-Dec,24823959,201410031,25822456,191620729,12.32508574
(주)국보디자인,66620,17-Dec,45968112,270658405,43280144,262522024,16.98381101
(주)국순당,43650,16-Dec,27674744,69701266,27426695,68425801,39.70479388
(주)국순당,43650,17-Dec,23774441,62761236,23148955,60087461,37.88077246
(주)국영지앤엠,6050,16-Dec,1862126,51456556,1862126,51456556,3.618831389
(주)국영지앤엠,6050,17-Dec,3163530,62861661,3163530,62861661,5.032526901
(주)그래디언트,35080,16-Dec,422802329,3845761388,16516754,16516754,10.99398237
(주)그래디언트,35080,17-Dec,385690217,3541486629,12485184,12485184,10.89063033
(주)글로벌스탠다드테크놀로지,83450,16-Dec,33343579,90819412,27086715,81859588,36.71415424
(주)글로벌스탠다드테크놀로지,83450,17-Dec,56066817,162835484,47792022,154761834,34.43157205
(주)금빛,45890,16-Dec,23376884,75658000,17531101,67258801,30.89809934
(주)금빛,45890,17-Dec,18845796,72904350,14119026,65805697,25.85002952
(주)금화피에스시,36190,16-Dec,40305184,235018376,35655228,201547339,17.14980109
(주)금화피에스시,36190,17-Dec,42705911,205781841,39501159,174993150,20.75300269
