회사명,거래소코드,회계년도,매출총이익(손실)(IFRS연결),매출액(수익)(*)(IFRS연결),매출총이익(손실)(IFRS),매출액(수익)(*)(IFRS),매출액총이익률2019
(주)CMG제약,58820,18-Dec,22739941,49864782,22739941,49864782,45.6032095
(주)CMG제약,58820,19-Dec,28922631,58622681,28922631,58622681,49.33692985
(주)ES큐브,50120,18-Dec,7727451,33763508,5615038,31308873,22.88699089
(주)ES큐브,50120,19-Dec,8197448,43708239,5818867,28527284,18.75492627
(주)가비아,79940,18-Dec,62977071,128728438,23543049,55197652,48.92242303
(주)가비아,79940,19-Dec,72656494,148306878,23722009,58254105,48.99064358
(주)강스템바이오텍,217730,18-Dec,1177260,9165454,724422,1001039,12.84453558
(주)강스템바이오텍,217730,19-Dec,-424362,6004584,140630,282069,-7.067300582
(주)강원에너지,114190,18-Dec,5893132,85905365,5893132,85905365,6.860027892
(주)강원에너지,114190,19-Dec,-6139234,42549622,-6139234,42549622,-14.4284102
(주)고려시멘트,198440,18-Dec,12667611,85775723,12667611,85775723,14.76829405
(주)고려시멘트,198440,19-Dec,5322291,70921781,5322291,70921781,7.504451982
(주)고영테크놀러지,98460,18-Dec,148872158,238208865,131724819,219818022,62.49648098
(주)고영테크놀러지,98460,19-Dec,141192030,222057035,127878419,209480760,63.58367795
(주)골드앤에스,35290,18-Dec,4274694,8680452,4332185,8680452,49.24506235
(주)골드앤에스,35290,19-Dec,1349614,7642733,1349614,7642733,17.65878777
(주)골드퍼시픽,38530,18-Dec,4299457,5708281,4172170,5580994,75.31964527
(주)골드퍼시픽,38530,19-Dec,3293749,11323125,3293749,11323125,29.08869239
(주)골프존,215000,18-Dec,121124256,198705194,114386279,191571105,60.95676392
(주)골프존,215000,19-Dec,153158534,247018099,142587936,239051647,62.00296036
(주)골프존뉴딘홀딩스,121440,18-Dec,93834334,223036801,15470314,16100354,42.0712338
(주)골프존뉴딘홀딩스,121440,19-Dec,88325725,228935651,1536388,26897482,38.58102686
(주)광림,14200,18-Dec,14059037,136595300,12987146,75493055,10.29247492
(주)광림,14200,19-Dec,10899581,145864184,14625935,93241157,7.472417629
(주)광무,29480,18-Dec,5305107,23074941,3589280,20707286,22.99077168
(주)광무,29480,19-Dec,14613203,36483979,4370450,25244176,40.05375346
(주)구스앤홈,329050,18-Dec,0,0,,,#DIV/0!
(주)구스앤홈,329050,19-Dec,0,0,,,#DIV/0!
(주)구영테크,53270,18-Dec,22259525,195238339,12255373,81928926,11.40120589
(주)구영테크,53270,19-Dec,22186170,230853336,13358720,93132845,9.610504394
(주)국보디자인,66620,18-Dec,37551391,254259835,33434670,231093439,14.76890402
(주)국보디자인,66620,19-Dec,32242304,269005976,25938672,237054909,11.98572035
(주)국순당,43650,18-Dec,22745751,61496072,20533275,52679104,36.98732335
(주)국순당,43650,19-Dec,28430638,102095769,17208177,48045002,27.84702861
(주)국영지앤엠,6050,18-Dec,956505,56301480,956505,56301480,1.698898501
(주)국영지앤엠,6050,19-Dec,3291919,73013468,3291919,73013468,4.508646268
(주)국전약품,307750,18-Dec,0,0,,,#DIV/0!
(주)국전약품,307750,19-Dec,0,0,,,#DIV/0!
(주)그래디언트,35080,18-Dec,355165921,3440906300,12237889,12237889,10.32187133
(주)그래디언트,35080,19-Dec,378932393,3412333826,8719700,8719700,11.1047867
(주)그리티,204020,18-Dec,70254636,119259702,70603450,117056356,58.90894814
(주)그리티,204020,19-Dec,66671881,123079831,66556901,120984485,54.16962345
(주)그린플러스,186230,18-Dec,8539016,46357455,7349587,42150610,18.4199413
(주)그린플러스,186230,19-Dec,9451966,48831866,7470841,39502728,19.35614338
(주)글로벌스탠다드테크놀로지,83450,18-Dec,43495602,129850197,35709665,115619452,33.49675473
(주)글로벌스탠다드테크놀로지,83450,19-Dec,66344307,168231754,56865536,150777009,39.43625708
(주)금빛,45890,18-Dec,2787502,53162303,2672060,50396516,5.243380822
(주)금빛,45890,19-Dec,8836619,58651417,7581643,55240846,15.06633506
