회사명,거래소코드,회계년도,매출원가(*)(IFRS),매출액(수익)(*)(IFRS),매출원가(*)(IFRS연결),매출액(수익)(*)(IFRS연결),매출원가대매출액
(주)CMG제약,58820,16-Dec,19663389,32969825,19663389,32969825,59.64056224
(주)CMG제약,58820,17-Dec,23497552,41535588,23497552,41535588,56.57209427
(주)ES큐브,50120,16-Dec,28468888,34818205,24454448,34289385,71.31783787
(주)ES큐브,50120,17-Dec,30497256,37104908,26057940,35745794,72.89791912
(주)가비아,79940,16-Dec,28802628,49430564,54998617,102178978,53.82576541
(주)가비아,79940,17-Dec,30561799,52365659,60313364,116217941,51.89677556
(주)강스템바이오텍,217730,16-Dec,57688,842805,57688,842805,6.84476243
(주)강스템바이오텍,217730,17-Dec,2402560,5394323,5874047,9132939,64.31716012
(주)강원에너지,114190,16-Dec,37206789,44448760,35270278,42287473,83.40597226
(주)강원에너지,114190,17-Dec,82247917,83113029,81169717,82034829,98.94543329
(주)고려시멘트,198440,16-Dec,,,0,0,#DIV/0!
(주)고려시멘트,198440,17-Dec,75974602,87660276,75974602,87660276,86.66936207
(주)고영테크놀러지,98460,16-Dec,61186100,153254768,63856136,171793841,37.17021264
(주)고영테크놀러지,98460,17-Dec,73639302,188934907,71899522,203368626,35.3542842
(주)골드앤에스,35290,16-Dec,9636887,15893494,9347753,15893494,58.81496542
(주)골드앤에스,35290,17-Dec,8220762,12802035,8002687,12802035,62.51105391
(주)골드퍼시픽,38530,16-Dec,8116354,9588100,8116354,9588100,84.65028525
(주)골드퍼시픽,38530,17-Dec,1988881,5031439,1988881,5031439,39.52906912
(주)골프존,215000,16-Dec,75591746,196864993,87427908,216964342,40.29598006
(주)골프존,215000,17-Dec,61708564,171859065,69036405,200105321,34.50003461
(주)골프존뉴딘홀딩스,121440,16-Dec,512580,27652102,126201483,243275475,51.8759579
(주)골프존뉴딘홀딩스,121440,17-Dec,681186,23499543,112978779,213756902,52.85386247
(주)광림,14200,16-Dec,75002299,87302967,75002299,87302967,85.9103666
(주)광림,14200,17-Dec,84130277,99421336,131160374,135191558,97.01816884
(주)광무,29480,16-Dec,21752231,26429957,21752231,26429957,82.3014241
(주)광무,29480,17-Dec,17503183,21540953,17503183,21540953,81.255379
(주)구영테크,53270,16-Dec,61393389,75320433,125781105,148301597,84.81439684
(주)구영테크,53270,17-Dec,61735712,74298129,127099113,149833357,84.82698082
(주)국보디자인,66620,16-Dec,165798273,191620729,176586073,201410031,87.67491476
(주)국보디자인,66620,17-Dec,219241879,262522024,224690293,270658405,83.01618899
(주)국순당,43650,16-Dec,40999107,68425801,42026522,69701266,60.29520612
(주)국순당,43650,17-Dec,36938506,60087461,38986795,62761236,62.11922754
(주)국영지앤엠,6050,16-Dec,49594430,51456556,49594430,51456556,96.38116861
(주)국영지앤엠,6050,17-Dec,59698131,62861661,59698131,62861661,94.9674731
(주)그래디언트,35080,16-Dec,0,16516754,3422959059,3845761388,89.00601763
(주)그래디언트,35080,17-Dec,0,12485184,3155796412,3541486629,89.10936967
(주)글로벌스탠다드테크놀로지,83450,16-Dec,54772873,81859588,57475833,90819412,63.28584576
(주)글로벌스탠다드테크놀로지,83450,17-Dec,106969813,154761834,106768667,162835484,65.56842795
(주)금빛,45890,16-Dec,49727700,67258801,52281115,75658000,69.10189934
(주)금빛,45890,17-Dec,51686671,65805697,54058554,72904350,74.14997048
(주)금화피에스시,36190,16-Dec,165892111,201547339,194713192,235018376,82.85019891
(주)금화피에스시,36190,17-Dec,135491991,174993150,163075930,205781841,79.24699731
(주)기가레인,49080,16-Dec,72502389,70397030,74497864,75445071,98.74450778
(주)기가레인,49080,17-Dec,75150521,89874499,82715768,100131227,82.60736483
(주)기산텔레콤,35460,16-Dec,19409331,24679656,49418392,59172319,83.51606433
(주)기산텔레콤,35460,17-Dec,23459863,29568090,54370843,63467585,85.6671055
(주)나노,187790,16-Dec,21667763,18480121,50037070,48175171,103.8648519
(주)나노,187790,17-Dec,24597470,29944292,62721642,73089292,85.8150904
(주)나노신소재,121600,16-Dec,23265866,41111800,23265866,41111800,56.59169873
(주)나노신소재,121600,17-Dec,24870265,45568866,24870265,45568866,54.57731821
(주)나노엔텍,39860,16-Dec,17098146,19928840,17415702,22205895,78.42828222
(주)나노엔텍,39860,17-Dec,12699442,22133358,13425040,23809593,56.38500415
(주)나무가,190510,16-Dec,179597488,189575941,275809267,292613003,94.25735158
(주)나무가,190510,17-Dec,165417176,169353908,269861442,257564977,104.7741215
(주)나스미디어,89600,16-Dec,0,61749724,0,69943009,0
(주)나스미디어,89600,17-Dec,0,84283178,0,120275391,0
(주)나이벡,138610,16-Dec,4004453,4804232,4004453,4804232,83.35261494
(주)나이벡,138610,17-Dec,4346585,6302575,4346585,6302575,68.96522453
(주)나이스디앤비,130580,16-Dec,0,24018056,0,33964917,0
(주)나이스디앤비,130580,17-Dec,0,32327045,0,42282947,0
(주)나인테크,267320,17-Dec,,,0,0,#DIV/0!
(주)내츄럴엔도텍,168330,16-Dec,4249562,6556020,4249562,6556020,64.81923484
(주)내츄럴엔도텍,168330,17-Dec,5910004,9238808,5910004,9238808,63.96933457
(주)네오리진,94860,16-Dec,5297135,10654596,5297135,10654596,49.71690151
(주)네오리진,94860,17-Dec,4028907,9032026,4114151,9263380,44.41306521
(주)네오오토,212560,16-Dec,124333117,140544448,124333117,140544448,88.46533518
(주)네오오토,212560,17-Dec,119701284,128249343,119701284,128249343,93.33481264
(주)네오위즈,95660,16-Dec,49306518,117653566,90392826,191038418,47.31656959
(주)네오위즈,95660,17-Dec,48083020,106849588,91937730,174045348,52.82400883
(주)네오위즈홀딩스,42420,16-Dec,0,543311,96783407,201698095,47.98429405
(주)네오위즈홀딩스,42420,17-Dec,0,551698,98457745,184864190,53.25950093
(주)네오티스,85910,16-Dec,32562523,40161938,31663302,40161938,78.83907893
(주)네오티스,85910,17-Dec,35645759,43473210,34282804,43473210,78.85961032
(주)네오팜,92730,16-Dec,10419795,42257057,10491982,42368623,24.76356619
(주)네오팜,92730,17-Dec,13425665,53553213,13490376,53633507,25.1528881
(주)네이블커뮤니케이션즈,153460,16-Dec,10558971,21590435,10558971,21590435,48.90578166
(주)네이블커뮤니케이션즈,153460,17-Dec,8137687,13473262,8137687,13473262,60.39878836
(주)네이처셀,7390,16-Dec,22854062,26787767,22854062,26787767,85.31529336
(주)네이처셀,7390,17-Dec,19593489,27215252,19593489,27215252,71.99451616
(주)네패스,33640,16-Dec,180342718,223644590,207412137,254535006,81.48668439
(주)네패스,33640,17-Dec,201891662,261721389,222930178,285034101,78.21175685
(주)넥스턴바이오사이언스,89140,16-Dec,49737306,74373034,49737306,74373034,66.8754565
(주)넥스턴바이오사이언스,89140,17-Dec,30152563,43707618,30152563,43707618,68.98697385
(주)넥스트아이,137940,16-Dec,16825674,22779239,28516754,39439948,72.30423833
(주)넥스트아이,137940,17-Dec,19268843,26394171,40479614,59482937,68.05248033
(주)넥스트엔터테인먼트월드,160550,16-Dec,86084437,103941613,99920680,125723993,79.47622217
(주)넥스트엔터테인먼트월드,160550,17-Dec,49975749,57004350,73587274,94538544,77.83838304
(주)넥슨게임즈,225570,16-Dec,,,0,0,#DIV/0!
(주)넥슨게임즈,225570,17-Dec,0,22407505,0,22407505,0
(주)넵튠,217270,16-Dec,0,7345180,0,18335549,0
(주)넵튠,217270,17-Dec,0,7112477,0,20528450,0
(주)노블엠앤비,106520,16-Dec,58181300,52251867,62220237,63662855,97.73397219
(주)노블엠앤비,106520,17-Dec,59421692,55483850,61813700,60316673,102.4819456
(주)녹십자셀,31390,16-Dec,7034017,11908637,21597877,28455734,75.89991177
