회사명,거래소코드,회계년도,매출원가(*)(IFRS),매출액(수익)(*)(IFRS),매출원가(*)(IFRS연결),매출액(수익)(*)(IFRS연결),매출원가대매출액2019
(주)CMG제약,58820,18-Dec,27124841,49864782,27124841,49864782,54.3967905
(주)CMG제약,58820,19-Dec,29700050,58622681,29700050,58622681,50.66307015
(주)ES큐브,50120,18-Dec,25693835,31308873,26036057,33763508,77.11300911
(주)ES큐브,50120,19-Dec,22708418,28527284,35510791,43708239,81.24507373
(주)가비아,79940,18-Dec,31654603,55197652,65751367,128728438,51.07757697
(주)가비아,79940,19-Dec,34532096,58254105,75650385,148306878,51.0093571
(주)강스템바이오텍,217730,18-Dec,276617,1001039,7988195,9165454,87.15547533
(주)강스템바이오텍,217730,19-Dec,141439,282069,6428945,6004584,107.0672839
(주)강원에너지,114190,18-Dec,80012233,85905365,80012233,85905365,93.13997211
(주)강원에너지,114190,19-Dec,48688856,42549622,48688856,42549622,114.4284102
(주)고려시멘트,198440,18-Dec,73108112,85775723,73108112,85775723,85.23170595
(주)고려시멘트,198440,19-Dec,65599490,70921781,65599490,70921781,92.49554802
(주)고영테크놀러지,98460,18-Dec,88093203,219818022,89336707,238208865,37.50351902
(주)고영테크놀러지,98460,19-Dec,81602341,209480760,80865005,222057035,36.41632205
(주)골드앤에스,35290,18-Dec,4348267,8680452,4405757,8680452,50.75492613
(주)골드앤에스,35290,19-Dec,6293120,7642733,6293120,7642733,82.34122532
(주)골드퍼시픽,38530,18-Dec,1408824,5580994,1408824,5708281,24.68035473
(주)골드퍼시픽,38530,19-Dec,8029376,11323125,8029376,11323125,70.91130761
(주)골프존,215000,18-Dec,77184826,191571105,77580938,198705194,39.04323608
(주)골프존,215000,19-Dec,96463711,239051647,93859565,247018099,37.99703964
(주)골프존뉴딘홀딩스,121440,18-Dec,630040,16100354,129202466,223036801,57.92876576
(주)골프존뉴딘홀딩스,121440,19-Dec,25361094,26897482,140609926,228935651,61.41897314
(주)광림,14200,18-Dec,62505909,75493055,122536264,136595300,89.70752581
(주)광림,14200,19-Dec,78615222,93241157,134964602,145864184,92.52758169
(주)광무,29480,18-Dec,17118006,20707286,17769834,23074941,77.00922832
(주)광무,29480,19-Dec,20873726,25244176,21870776,36483979,59.94624654
(주)구스앤홈,329050,18-Dec,,,0,0,#DIV/0!
(주)구스앤홈,329050,19-Dec,,,0,0,#DIV/0!
(주)구영테크,53270,18-Dec,69673553,81928926,172978813,195238339,88.5987936
(주)구영테크,53270,19-Dec,79774125,93132845,208667166,230853336,90.38949561
(주)국보디자인,66620,18-Dec,197658770,231093439,216708444,254259835,85.23109598
(주)국보디자인,66620,19-Dec,211116237,237054909,236763672,269005976,88.01427965
(주)국순당,43650,18-Dec,32145829,52679104,38750320,61496072,63.01267502
(주)국순당,43650,19-Dec,30836825,48045002,73665131,102095769,72.15297139
(주)국영지앤엠,6050,18-Dec,55344975,56301480,55344975,56301480,98.3011015
(주)국영지앤엠,6050,19-Dec,69721549,73013468,69721549,73013468,95.49135373
(주)국전약품,307750,18-Dec,,,0,0,#DIV/0!
(주)국전약품,307750,19-Dec,,,0,0,#DIV/0!
(주)그래디언트,35080,18-Dec,0,12237889,3085740379,3440906300,89.67812867
(주)그래디언트,35080,19-Dec,0,8719700,3033401434,3412333826,88.89521333
(주)그리티,204020,18-Dec,46452906,117056356,49005066,119259702,41.09105186
(주)그리티,204020,19-Dec,54427584,120984485,56407950,123079831,45.83037655
(주)그린플러스,186230,18-Dec,34801023,42150610,37818439,46357455,81.5800587
(주)그린플러스,186230,19-Dec,32031887,39502728,39379899,48831866,80.64385457
(주)글로벌스탠다드테크놀로지,83450,18-Dec,79909787,115619452,86354595,129850197,66.50324527
(주)글로벌스탠다드테크놀로지,83450,19-Dec,93911473,150777009,101887447,168231754,60.56374292
(주)금빛,45890,18-Dec,47724456,50396516,50374801,53162303,94.75661918
(주)금빛,45890,19-Dec,47659203,55240846,49814798,58651417,84.93366494
(주)금화피에스시,36190,18-Dec,155053912,202098199,182097574,233326733,78.04402507
(주)금화피에스시,36190,19-Dec,141596399,179177462,165793394,209435314,79.16210062
(주)기가레인,49080,18-Dec,97333710,114668638,106042765,124772205,84.98909272
(주)기가레인,49080,19-Dec,76187720,63361399,85455615,72769411,117.4334295
(주)기산텔레콤,35460,18-Dec,21027572,24864346,47301809,56445716,83.8005297
(주)기산텔레콤,35460,19-Dec,22815941,30545683,52668790,67054955,78.54570926
(주)까스텔바작,308100,18-Dec,34009182,92092225,34029878,92346623,36.85015964
(주)까스텔바작,308100,19-Dec,31201605,81068234,31238794,81358617,38.39641719
(주)나노,187790,18-Dec,29195935,34238747,71007597,81942719,86.65516335
(주)나노,187790,19-Dec,33401716,38421023,66484746,73694955,90.21614302
(주)나노브릭,286750,18-Dec,5707296,7186469,5707296,7186469,79.41724928
(주)나노브릭,286750,19-Dec,5874843,7775408,5874843,7775408,75.55671677
(주)나노신소재,121600,18-Dec,29703093,52249960,29703093,52249960,56.8480684
(주)나노신소재,121600,19-Dec,29575322,48892961,29575322,48892961,60.48993842
(주)나노엔텍,39860,18-Dec,14860566,24871160,14597686,25796821,56.5871508
(주)나노엔텍,39860,19-Dec,14027102,25099090,13549213,26255836,51.6045766
(주)나무가,190510,18-Dec,188721350,199656907,294278543,312824892,94.07133209
(주)나무가,190510,19-Dec,257677357,275379664,341733797,362063863,94.38495026
(주)나스미디어,89600,18-Dec,0,71877991,0,106607030,0
(주)나스미디어,89600,19-Dec,0,78372579,0,117006838,0
(주)나이벡,138610,18-Dec,4745812,5207877,4745812,5207877,91.12757463
(주)나이벡,138610,19-Dec,5309224,9287488,5309224,9287488,57.165339
(주)나이스디앤비,130580,18-Dec,0,42167015,0,52040929,0
(주)나이스디앤비,130580,19-Dec,0,50280560,0,77330430,0
(주)나인테크,267320,18-Dec,,,0,0,#DIV/0!
(주)나인테크,267320,19-Dec,,,0,0,#DIV/0!
(주)내츄럴엔도텍,168330,18-Dec,10021678,8892649,12032388,8928362,134.7659067
(주)내츄럴엔도텍,168330,19-Dec,8355704,6615116,9955380,6580460,151.2869921
(주)네오리진,94860,18-Dec,5123416,9064462,5123416,9064462,56.5220087
(주)네오리진,94860,19-Dec,6559683,11270250,6559683,11270250,58.20352698
(주)네오셈,253590,18-Dec,,,0,0,#DIV/0!
(주)네오셈,253590,19-Dec,13678942,25334754,13957524,27225588,51.26619855
(주)네오오토,212560,18-Dec,105265933,115243742,105265933,115243742,91.34199495
(주)네오오토,212560,19-Dec,109319189,118441501,109319189,118441501,92.29804425
(주)네오위즈,95660,18-Dec,80506895,155574255,104316848,215490230,48.40908472
(주)네오위즈,95660,19-Dec,98975385,202617148,114293832,254498033,44.90951488
