,Unnamed: 0.1,Unnamed: 0,회사명,거래소코드,회계년도,유동자산(*)(IFRS연결),유동자산(*)(IFRS),유동자산증가율
0,0,0,(주)CMG제약,58820,16-Dec,78772201,78772201.0,
1,1,1,(주)CMG제약,58820,17-Dec,81227330,81227330.0,3.1167454620190105
2,2,2,(주)ES큐브,50120,16-Dec,50885945,43388800.0,
3,3,3,(주)ES큐브,50120,17-Dec,51038158,44761949.0,0.2991258195165658
4,4,4,(주)가비아,79940,16-Dec,60241586,12237594.0,
5,5,5,(주)가비아,79940,17-Dec,66113388,15116578.0,9.747090655946543
6,6,6,(주)강스템바이오텍,217730,16-Dec,37966496,37966496.0,
7,7,7,(주)강스템바이오텍,217730,17-Dec,25246012,24316617.0,-33.50449828185356
8,8,8,(주)강원에너지,114190,16-Dec,53716336,49882033.0,
9,9,9,(주)강원에너지,114190,17-Dec,68068421,66557788.0,26.718287338138637
10,10,10,(주)고려시멘트,198440,16-Dec,0,,
11,11,11,(주)고려시멘트,198440,17-Dec,38542950,38542950.0,inf
12,12,12,(주)고영테크놀러지,98460,16-Dec,154891864,156029191.0,
13,13,13,(주)고영테크놀러지,98460,17-Dec,161356541,159374622.0,4.17367112322955
14,14,14,(주)골드앤에스,35290,16-Dec,8660668,8552277.0,
15,15,15,(주)골드앤에스,35290,17-Dec,10831000,10974294.0,25.059637432124184
16,16,16,(주)골드퍼시픽,38530,16-Dec,5438550,5438550.0,
17,17,17,(주)골드퍼시픽,38530,17-Dec,17215160,17215160.0,216.53951880556397
18,18,18,(주)골프존,215000,16-Dec,89781733,75788492.0,
19,19,19,(주)골프존,215000,17-Dec,160591890,142686039.0,78.86922499034408
20,20,20,(주)골프존뉴딘홀딩스,121440,16-Dec,102314350,63048320.0,
21,21,21,(주)골프존뉴딘홀딩스,121440,17-Dec,117348020,46961353.0,14.69360847232084
22,22,22,(주)광림,14200,16-Dec,88113464,51509785.0,
23,23,23,(주)광림,14200,17-Dec,78175789,255751980.0,-11.27827070786821
24,24,24,(주)광무,29480,16-Dec,11893960,11893960.0,
25,25,25,(주)광무,29480,17-Dec,14949942,14949942.0,25.693562110516588
26,26,26,(주)구영테크,53270,16-Dec,54139890,39434041.0,
27,27,27,(주)구영테크,53270,17-Dec,64140319,52077454.0,18.47146161545581
28,28,28,(주)국보디자인,66620,16-Dec,128985094,118586463.0,
29,29,29,(주)국보디자인,66620,17-Dec,135628503,127549210.0,5.15052460247849
30,30,30,(주)국순당,43650,16-Dec,85261001,71906088.0,
31,31,31,(주)국순당,43650,17-Dec,86651908,75544356.0,1.6313519471815807
32,32,32,(주)국영지앤엠,6050,16-Dec,29575531,29575531.0,
33,33,33,(주)국영지앤엠,6050,17-Dec,29995395,29995395.0,1.4196330067581808
34,34,34,(주)그래디언트,35080,16-Dec,1415600914,395047.0,
35,35,35,(주)그래디언트,35080,17-Dec,1229878565,3201309.0,-13.119682755446426
36,36,36,(주)글로벌스탠다드테크놀로지,83450,16-Dec,53825575,46676903.0,
37,37,37,(주)글로벌스탠다드테크놀로지,83450,17-Dec,57916418,46766708.0,7.60018448479185
38,38,38,(주)금빛,45890,16-Dec,44895310,47657248.0,
39,39,39,(주)금빛,45890,17-Dec,53638818,56732968.0,19.47532604185158
40,40,40,(주)금화피에스시,36190,16-Dec,144728651,126330610.0,
41,41,41,(주)금화피에스시,36190,17-Dec,158082025,141168180.0,9.226489646476432
42,42,42,(주)기가레인,49080,16-Dec,46144283,43016521.0,
43,43,43,(주)기가레인,49080,17-Dec,72343064,69139156.0,56.775789538218625
44,44,44,(주)기산텔레콤,35460,16-Dec,62942880,31145919.0,
45,45,45,(주)기산텔레콤,35460,17-Dec,58352347,29268094.0,-7.29317279412699
46,46,46,(주)나노,187790,16-Dec,34297077,18258906.0,
47,47,47,(주)나노,187790,17-Dec,42822418,23979304.0,24.85733988351253
48,48,48,(주)나노신소재,121600,16-Dec,62485580,62232029.0,
49,49,49,(주)나노신소재,121600,17-Dec,61681313,61474512.0,-1.2871241652874121
50,50,50,(주)나노엔텍,39860,16-Dec,21923466,24010804.0,
