,Unnamed: 0,회사명,거래소코드,회계년도,유동자산(*)(IFRS연결),유동자산(*)(IFRS),유동자산증가율2019
0,0,(주)CMG제약,58820,18-Dec,81370415,81370415.0,
1,1,(주)CMG제약,58820,19-Dec,150584066,150584066.0,85.05997050647953
2,2,(주)ES큐브,50120,18-Dec,45061626,29054833.0,
3,3,(주)ES큐브,50120,19-Dec,359030693,24298462.0,696.754855228704
4,4,(주)가비아,79940,18-Dec,78058272,18388749.0,
5,5,(주)가비아,79940,19-Dec,86880807,13602872.0,11.302498471910827
6,6,(주)강스템바이오텍,217730,18-Dec,48992790,44071609.0,
7,7,(주)강스템바이오텍,217730,19-Dec,55408095,50136013.0,13.094385929031604
8,8,(주)강원에너지,114190,18-Dec,70556730,70097814.0,
9,9,(주)강원에너지,114190,19-Dec,30544232,30346449.0,-56.70968311598341
10,10,(주)고려시멘트,198440,18-Dec,49955334,49955334.0,
11,11,(주)고려시멘트,198440,19-Dec,46591282,46591282.0,-6.7341197238316886
12,12,(주)고영테크놀러지,98460,18-Dec,227563739,231667150.0,
13,13,(주)고영테크놀러지,98460,19-Dec,225797248,229213476.0,-0.7762620739853454
14,14,(주)골드앤에스,35290,18-Dec,21031370,21031370.0,
15,15,(주)골드앤에스,35290,19-Dec,3910189,3910189.0,-81.40782554821678
16,16,(주)골드퍼시픽,38530,18-Dec,23990386,22006122.0,
17,17,(주)골드퍼시픽,38530,19-Dec,28455147,28455147.0,18.610625939907766
18,18,(주)골프존,215000,18-Dec,145265354,134088763.0,
19,19,(주)골프존,215000,19-Dec,81730468,70491340.0,-43.737122617689
20,20,(주)골프존뉴딘홀딩스,121440,18-Dec,99968915,59445798.0,
21,21,(주)골프존뉴딘홀딩스,121440,19-Dec,125716505,30696570.0,25.75559612705609
22,22,(주)광림,14200,18-Dec,75325405,145430179.0,
23,23,(주)광림,14200,19-Dec,114526470,82568345.0,52.042289052411995
24,24,(주)광무,29480,18-Dec,17301470,12582516.0,
25,25,(주)광무,29480,19-Dec,39307761,33233586.0,127.19318647490647
26,26,(주)구스앤홈,329050,18-Dec,0,,
27,27,(주)구스앤홈,329050,19-Dec,0,,
28,28,(주)구영테크,53270,18-Dec,60744298,43158029.0,
29,29,(주)구영테크,53270,19-Dec,70165074,37519675.0,15.508905872943002
30,30,(주)국보디자인,66620,18-Dec,142346121,127871195.0,
31,31,(주)국보디자인,66620,19-Dec,194818591,169956490.0,36.862592132032866
32,32,(주)국순당,43650,18-Dec,72906719,62941465.0,
33,33,(주)국순당,43650,19-Dec,78834555,60930981.0,8.13071289081051
34,34,(주)국영지앤엠,6050,18-Dec,25138635,25138635.0,
35,35,(주)국영지앤엠,6050,19-Dec,32068324,32068324.0,27.565892101937916
36,36,(주)국전약품,307750,18-Dec,0,,
37,37,(주)국전약품,307750,19-Dec,0,,
38,38,(주)그래디언트,35080,18-Dec,1261972833,2674301.0,
39,39,(주)그래디언트,35080,19-Dec,1206801338,208003.0,-4.371844904841938
40,40,(주)그리티,204020,18-Dec,89112620,75670982.0,
41,41,(주)그리티,204020,19-Dec,82603832,68611692.0,-7.3040025082867
42,42,(주)그린플러스,186230,18-Dec,28102212,20172007.0,
43,43,(주)그린플러스,186230,19-Dec,38480019,28574671.0,36.928790516561484
44,44,(주)글로벌스탠다드테크놀로지,83450,18-Dec,54651818,41265448.0,
45,45,(주)글로벌스탠다드테크놀로지,83450,19-Dec,88978443,78199372.0,62.80966719167513
46,46,(주)금빛,45890,18-Dec,44562008,49386957.0,
47,47,(주)금빛,45890,19-Dec,37338343,36969681.0,-16.210366911652628
48,48,(주)금화피에스시,36190,18-Dec,178015924,157919642.0,
49,49,(주)금화피에스시,36190,19-Dec,184009183,152061849.0,3.3666982511070254
50,50,(주)기가레인,49080,18-Dec,97225166,93687799.0,
51,51,(주)기가레인,49080,19-Dec,60133834,60124344.0,-38.14992920660069
52,52,(주)기산텔레콤,35460,18-Dec,46536756,23094786.0,
53,53,(주)기산텔레콤,35460,19-Dec,49053647,22585911.0,5.408393743646411
54,54,(주)까스텔바작,308100,18-Dec,62872975,62541283.0,
55,55,(주)까스텔바작,308100,19-Dec,66201004,66187581.0,5.293258351461816
56,56,(주)나노,187790,18-Dec,51117840,21311661.0,
57,57,(주)나노,187790,19-Dec,49148522,26750864.0,-3.8525062874331106
58,58,(주)나노브릭,286750,18-Dec,4798233,4791614.0,
59,59,(주)나노브릭,286750,19-Dec,11714243,11714243.0,144.1366019532607
60,60,(주)나노신소재,121600,18-Dec,70792401,70100637.0,
61,61,(주)나노신소재,121600,19-Dec,74512856,72468307.0,5.255444012980992
62,62,(주)나노엔텍,39860,18-Dec,23339161,26007857.0,
63,63,(주)나노엔텍,39860,19-Dec,27247058,30446256.0,16.74394807936754
64,64,(주)나무가,190510,18-Dec,66783642,59347429.0,
65,65,(주)나무가,190510,19-Dec,113544554,122158556.0,70.01851141930835
66,66,(주)나스미디어,89600,18-Dec,229307714,161108150.0,
67,67,(주)나스미디어,89600,19-Dec,280030917,206145559.0,22.120146817215236
68,68,(주)나이벡,138610,18-Dec,5289806,5289806.0,
69,69,(주)나이벡,138610,19-Dec,17075714,17075714.0,222.804163328485
70,70,(주)나이스디앤비,130580,18-Dec,36486729,30158313.0,
71,71,(주)나이스디앤비,130580,19-Dec,53601462,37120373.0,46.906734226573164
72,72,(주)나인테크,267320,18-Dec,0,,
73,73,(주)나인테크,267320,19-Dec,0,,
74,74,(주)내츄럴엔도텍,168330,18-Dec,24240298,23596103.0,
75,75,(주)내츄럴엔도텍,168330,19-Dec,15836553,15224417.0,-34.66848881148243
76,76,(주)네오리진,94860,18-Dec,6149983,6149983.0,
77,77,(주)네오리진,94860,19-Dec,7948947,7948947.0,29.251528012353845
78,78,(주)네오셈,253590,18-Dec,0,,
79,79,(주)네오셈,253590,19-Dec,38545931,39160614.0,inf
80,80,(주)네오오토,212560,18-Dec,36683081,36683081.0,
81,81,(주)네오오토,212560,19-Dec,39651206,39651206.0,8.091264198882309
82,82,(주)네오위즈,95660,18-Dec,154960983,81598832.0,
83,83,(주)네오위즈,95660,19-Dec,191361850,90967332.0,23.490343372434587
84,84,(주)네오위즈홀딩스,42420,18-Dec,297220633,124058087.0,
85,85,(주)네오위즈홀딩스,42420,19-Dec,311695984,106410445.0,4.8702375921526375
86,86,(주)네오크레마,311390,18-Dec,15171278,15171278.0,
87,87,(주)네오크레마,311390,19-Dec,23764433,20372941.0,56.64094349862945
88,88,(주)네오티스,85910,18-Dec,37412247,36724867.0,
89,89,(주)네오티스,85910,19-Dec,37012899,36739301.0,-1.0674258619109422
90,90,(주)네오팜,92730,18-Dec,58937369,58745127.0,
91,91,(주)네오팜,92730,19-Dec,101680179,101834036.0,72.52242630647459
92,92,(주)네오펙트,290660,18-Dec,29301394,25430373.0,
93,93,(주)네오펙트,290660,19-Dec,19794181,10770104.0,-32.44628224855104
94,94,(주)네온테크,306620,18-Dec,0,,
95,95,(주)네온테크,306620,19-Dec,0,,
96,96,(주)네이블커뮤니케이션즈,153460,18-Dec,20225762,20225762.0,
97,97,(주)네이블커뮤니케이션즈,153460,19-Dec,18645393,18645393.0,-7.813643807338389
98,98,(주)네이처셀,7390,18-Dec,22135792,22135792.0,
99,99,(주)네이처셀,7390,19-Dec,55894260,55894260.0,152.50625773859818
100,100,(주)네패스,33640,18-Dec,95984960,92402429.0,
101,101,(주)네패스,33640,19-Dec,193515638,101977069.0,101.61037520878268
102,102,(주)넥스턴바이오사이언스,89140,18-Dec,99390671,99390671.0,
