회사명,거래소코드,회계년도,이자비용(IFRS연결),이자비용(IFRS)
(주)CMG제약,58820,Dec-17,0,0
(주)ES큐브,50120,Dec-17,785009,785009
(주)가비아,79940,Dec-17,236636,117130
(주)강스템바이오텍,217730,Dec-17,1439546,1403456
(주)강원에너지,114190,Dec-17,210372,60340
(주)고려시멘트,198440,Dec-17,179709,179709
(주)고영테크놀러지,98460,Dec-17,7124,0
(주)골드앤에스,35290,Dec-17,141278,134375
(주)골드퍼시픽,38530,Dec-17,1516482,1516482
(주)골프존,215000,Dec-17,713146,708492
(주)골프존뉴딘홀딩스,121440,Dec-17,6550057,1386530
(주)광림,14200,Dec-17,3872634,1405458
(주)광무,29480,Dec-17,623290,623290
(주)구영테크,53270,Dec-17,2401216,1183774
(주)국보디자인,66620,Dec-17,6551,6551
(주)국순당,43650,Dec-17,347165,0
(주)국영지앤엠,6050,Dec-17,80260,80260
(주)그래디언트,35080,Dec-17,2236223,230679
(주)글로벌스탠다드테크놀로지,83450,Dec-17,104819,53313
(주)금빛,45890,Dec-17,2049740,2049689
(주)금화피에스시,36190,Dec-17,62772,0
(주)기가레인,49080,Dec-17,2664864,2556780
(주)기산텔레콤,35460,Dec-17,507327,54999
(주)나노,187790,Dec-17,1724742,1018886
(주)나노신소재,121600,Dec-17,74432,74432
(주)나노엔텍,39860,Dec-17,494923,494923
(주)나무가,190510,Dec-17,1690517,198856
(주)나스미디어,89600,Dec-17,232681,0
(주)나이벡,138610,Dec-17,623620,623620
(주)나이스디앤비,130580,Dec-17,0,0
(주)나인테크,267320,Dec-17,0,
(주)내츄럴엔도텍,168330,Dec-17,2754233,2753831
(주)네오리진,94860,Dec-17,68001,68001
(주)네오오토,212560,Dec-17,943271,943271
(주)네오위즈,95660,Dec-17,132940,16920
(주)네오위즈홀딩스,42420,Dec-17,181448,0
(주)네오티스,85910,Dec-17,446865,380602
(주)네오팜,92730,Dec-17,0,0
(주)네이블커뮤니케이션즈,153460,Dec-17,0,0
(주)네이처셀,7390,Dec-17,649883,649883
(주)네패스,33640,Dec-17,5823511,4326532
(주)넥스턴바이오사이언스,89140,Dec-17,6575,6575
(주)넥스트아이,137940,Dec-17,1533719,1331982
(주)넥스트엔터테인먼트월드,160550,Dec-17,745001,648459
(주)넥슨게임즈,225570,Dec-17,59953,59953
(주)넵튠,217270,Dec-17,168058,36460
(주)노블엠앤비,106520,Dec-17,3295234,2894094
(주)녹십자셀,31390,Dec-17,179967,179967
(주)녹십자엠에스,142280,Dec-17,512042,376367
(주)녹원씨엔아이,65560,Dec-17,3005315,2614745
(주)누리플랜,69140,Dec-17,282735,277681
(주)누리플렉스,40160,Dec-17,1090969,945457
(주)뉴로스,126870,Dec-17,2539802,2113267
(주)뉴보텍,60260,Dec-17,232527,232527
(주)뉴인텍,12340,Dec-17,838537,826012
(주)뉴파워프라즈마,144960,Dec-17,167865,162273
(주)뉴프렉스,85670,Dec-17,1266316,1227575
(주)다나와,119860,Dec-17,80817,2084
(주)다날,64260,Dec-17,2820975,2581041
(주)다산네트웍스,39560,Dec-17,4013185,3072857
(주)다우데이타,32190,Dec-17,7159654,1849866
(주)다원시스,68240,Dec-17,3458913,3229841
(주)대동스틸,48470,Dec-17,3898,3898
(주)대륙제관,4780,Dec-17,511854,511854
