회사명,거래소코드,회계년도,이자비용(IFRS연결),이자비용(IFRS)
(주)CMG제약,58820,Dec-19,8593,8593
(주)ES큐브,50120,Dec-19,3824474,3540387
(주)가비아,79940,Dec-19,693082,251017
(주)강스템바이오텍,217730,Dec-19,1076801,831730
(주)강원에너지,114190,Dec-19,2048603,1839180
(주)고려시멘트,198440,Dec-19,425258,425258
(주)고영테크놀러지,98460,Dec-19,295067,214477
(주)골드앤에스,35290,Dec-19,4887799,4887799
(주)골드퍼시픽,38530,Dec-19,3838407,3838407
(주)골프존,215000,Dec-19,1003551,814308
(주)골프존뉴딘홀딩스,121440,Dec-19,10033230,1993026
(주)광림,14200,Dec-19,4779694,2782235
(주)광무,29480,Dec-19,1037639,958464
(주)구스앤홈,329050,Dec-19,0,
(주)구영테크,53270,Dec-19,3945636,2208174
(주)국보디자인,66620,Dec-19,19514,15556
(주)국순당,43650,Dec-19,1381287,0
(주)국영지앤엠,6050,Dec-19,62923,62923
(주)국전약품,307750,Dec-19,0,
(주)그래디언트,35080,Dec-19,4459859,341897
(주)그리티,204020,Dec-19,588632,308360
(주)그린플러스,186230,Dec-19,1673740,724906
(주)글로벌스탠다드테크놀로지,83450,Dec-19,179031,41906
(주)금빛,45890,Dec-19,3954193,3938198
(주)금화피에스시,36190,Dec-19,122479,3851
(주)기가레인,49080,Dec-19,3660524,3546616
(주)기산텔레콤,35460,Dec-19,602749,137599
(주)까스텔바작,308100,Dec-19,41970,31189
(주)나노,187790,Dec-19,1619670,1153732
(주)나노브릭,286750,Dec-19,447474,447474
(주)나노신소재,121600,Dec-19,119864,118940
(주)나노엔텍,39860,Dec-19,22777,17179
(주)나무가,190510,Dec-19,2326323,1169654
(주)나스미디어,89600,Dec-19,851345,273496
(주)나이벡,138610,Dec-19,431560,431560
(주)나이스디앤비,130580,Dec-19,39565,15178
(주)나인테크,267320,Dec-19,0,
(주)내츄럴엔도텍,168330,Dec-19,2558323,2522455
(주)네오리진,94860,Dec-19,80154,80154
(주)네오셈,253590,Dec-19,436386,402494
(주)네오오토,212560,Dec-19,951933,951933
(주)네오위즈,95660,Dec-19,109724,35510
(주)네오위즈홀딩스,42420,Dec-19,109724,10306
(주)네오크레마,311390,Dec-19,196783,189961
(주)네오티스,85910,Dec-19,769076,688034
(주)네오팜,92730,Dec-19,17169,17169
(주)네오펙트,290660,Dec-19,887947,803798
(주)네온테크,306620,Dec-19,0,
(주)네이블커뮤니케이션즈,153460,Dec-19,1067,1067
(주)네이처셀,7390,Dec-19,212127,212127
(주)네패스,33640,Dec-19,5286233,2123816
(주)넥스턴바이오사이언스,89140,Dec-19,1252,1252
(주)넥스트아이,137940,Dec-19,935348,867859
(주)넥스트엔터테인먼트월드,160550,Dec-19,2669456,2119469
(주)넥슨게임즈,225570,Dec-19,566783,566783
(주)넵튠,217270,Dec-19,420493,88500
(주)노랑풍선,104620,Dec-19,465513,451177
