회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결),재고자산(*)(IFRS연결),매출액(수익)(*)(IFRS),재고자산(*)(IFRS),재고자산회전률
(주)CMG제약,58820,16-Dec,32969825,6393756,32969825,6393756,5.156566031
(주)CMG제약,58820,17-Dec,41535588,7904518,41535588,7904518,5.254664231
(주)ES큐브,50120,16-Dec,34289385,7447857,34818205,420745,4.603926337
(주)ES큐브,50120,17-Dec,35745794,8346570,37104908,408271,4.282692651
(주)가비아,79940,16-Dec,102178978,1363738,49430564,0,74.92566607
(주)가비아,79940,17-Dec,116217941,1675464,52365659,0,69.36463034
(주)강스템바이오텍,217730,16-Dec,842805,582808,842805,582808,1.446110898
(주)강스템바이오텍,217730,17-Dec,9132939,1725225,5394323,1725225,5.2937669
(주)강원에너지,114190,16-Dec,42287473,335220,44448760,335220,126.1484189
(주)강원에너지,114190,17-Dec,82034829,361382,83113029,361382,227.0030854
(주)고려시멘트,198440,16-Dec,0,0,,,#DIV/0!
(주)고려시멘트,198440,17-Dec,87660276,3329941,87660276,3329941,26.32487362
(주)고영테크놀러지,98460,16-Dec,171793841,19563475,153254768,12591503,8.781356124
(주)고영테크놀러지,98460,17-Dec,203368626,22300525,188934907,12749777,9.119454632
(주)골드앤에스,35290,16-Dec,15893494,1958738,15893494,1958738,8.114150029
(주)골드앤에스,35290,17-Dec,12802035,1057469,12802035,1057469,12.10629815
(주)골드퍼시픽,38530,16-Dec,9588100,55567,9588100,55567,172.5502546
(주)골드퍼시픽,38530,17-Dec,5031439,545070,5031439,545070,9.230812556
(주)골프존,215000,16-Dec,216964342,12659642,196864993,11069054,17.13826836
(주)골프존,215000,17-Dec,200105321,13130013,171859065,10223995,15.24029877
(주)골프존뉴딘홀딩스,121440,16-Dec,243275475,33842758,27652102,0,7.188405714
(주)골프존뉴딘홀딩스,121440,17-Dec,213756902,40345794,23499543,0,5.298121088
(주)광림,14200,16-Dec,87302967,26522759,87302967,21419610,3.291624638
(주)광림,14200,17-Dec,135191558,21761125,99421336,16099250,6.212526145
(주)광무,29480,16-Dec,26429957,714172,26429957,714172,37.00783145
(주)광무,29480,17-Dec,21540953,188668,21540953,188668,114.1738557
(주)구영테크,53270,16-Dec,148301597,19802569,75320433,7727200,7.489007967
(주)구영테크,53270,17-Dec,149833357,20106730,74298129,8041927,7.451900781
(주)국보디자인,66620,16-Dec,201410031,0,191620729,0,#DIV/0!
(주)국보디자인,66620,17-Dec,270658405,0,262522024,0,#DIV/0!
(주)국순당,43650,16-Dec,69701266,14890028,68425801,10940127,4.681070177
(주)국순당,43650,17-Dec,62761236,14274110,60087461,10134104,4.396858088
(주)국영지앤엠,6050,16-Dec,51456556,4059203,51456556,4059203,12.67651704
(주)국영지앤엠,6050,17-Dec,62861661,3195981,62861661,3195981,19.66897206
(주)그래디언트,35080,16-Dec,3845761388,117903146,16516754,0,32.61797092
(주)그래디언트,35080,17-Dec,3541486629,137969792,12485184,0,25.6685654
(주)글로벌스탠다드테크놀로지,83450,16-Dec,90819412,23047266,81859588,19337480,3.94057204
(주)글로벌스탠다드테크놀로지,83450,17-Dec,162835484,22852794,154761834,17981798,7.125408123
(주)금빛,45890,16-Dec,75658000,17537202,67258801,10788773,4.314143157
(주)금빛,45890,17-Dec,72904350,20512935,65805697,15016218,3.554067226
(주)금화피에스시,36190,16-Dec,235018376,832281,201547339,0,282.3786389
(주)금화피에스시,36190,17-Dec,205781841,1035746,174993150,0,198.6798317
(주)기가레인,49080,16-Dec,75445071,7789794,70397030,5755900,9.685117604
(주)기가레인,49080,17-Dec,100131227,24300940,89874499,22471865,4.120467233
(주)기산텔레콤,35460,16-Dec,59172319,17338891,24679656,4378274,3.412693407
(주)기산텔레콤,35460,17-Dec,63467585,21211655,29568090,7924502,2.992109055
(주)나노,187790,16-Dec,48175171,15952670,18480121,7609827,3.019881374
(주)나노,187790,17-Dec,73089292,20989648,29944292,6727280,3.482159015
(주)나노신소재,121600,16-Dec,41111800,29895861,41111800,29895861,1.37516695
(주)나노신소재,121600,17-Dec,45568866,30968835,45568866,30968835,1.471442694
(주)나노엔텍,39860,16-Dec,22205895,6556793,19928840,5387906,3.386700632
(주)나노엔텍,39860,17-Dec,23809593,5903314,22133358,5736380,4.033258776
(주)나무가,190510,16-Dec,292613003,26925230,189575941,931885,10.86761387
(주)나무가,190510,17-Dec,257564977,26473649,169353908,284743,9.729107499
(주)나스미디어,89600,16-Dec,69943009,0,61749724,0,#DIV/0!
(주)나스미디어,89600,17-Dec,120275391,0,84283178,0,#DIV/0!
(주)나이벡,138610,16-Dec,4804232,1729827,4804232,1729827,2.777290446
(주)나이벡,138610,17-Dec,6302575,2410746,6302575,2410746,2.614367088
(주)나이스디앤비,130580,16-Dec,33964917,1540,24018056,0,22055.14091
(주)나이스디앤비,130580,17-Dec,42282947,2397,32327045,0,17639.94451
(주)나인테크,267320,17-Dec,0,0,,,#DIV/0!
(주)내츄럴엔도텍,168330,16-Dec,6556020,6377994,6556020,6377994,1.027912538
(주)내츄럴엔도텍,168330,17-Dec,9238808,9523786,9238808,9345986,0.970077236
(주)네오리진,94860,16-Dec,10654596,838906,10654596,838906,12.70058386
(주)네오리진,94860,17-Dec,9263380,1145684,9032026,865579,8.085458119
(주)네오오토,212560,16-Dec,140544448,6729152,140544448,6729152,20.88590776
(주)네오오토,212560,17-Dec,128249343,7812998,128249343,7812998,16.41486955
(주)네오위즈,95660,16-Dec,191038418,5127,117653566,0,37261.2479
(주)네오위즈,95660,17-Dec,174045348,10523,106849588,0,16539.51801
(주)네오위즈홀딩스,42420,16-Dec,201698095,60218,543311,54969,3349.465193
(주)네오위즈홀딩스,42420,17-Dec,184864190,64564,551698,52810,2863.270398
(주)네오티스,85910,16-Dec,40161938,5041740,40161938,4299678,7.965888364
(주)네오티스,85910,17-Dec,43473210,4541748,43473210,3779620,9.57191152
(주)네오팜,92730,16-Dec,42368623,4156603,42257057,3972131,10.19308868
(주)네오팜,92730,17-Dec,53633507,4843618,53553213,4777494,11.07302578
(주)네이블커뮤니케이션즈,153460,16-Dec,21590435,642128,21590435,642128,33.62325736
(주)네이블커뮤니케이션즈,153460,17-Dec,13473262,1409660,13473262,1409660,9.557809685
(주)네이처셀,7390,16-Dec,26787767,5660744,26787767,5660744,4.732198983
(주)네이처셀,7390,17-Dec,27215252,4724717,27215252,4724717,5.760186695
(주)네패스,33640,16-Dec,254535006,9341156,223644590,7171671,27.24876942
(주)네패스,33640,17-Dec,285034101,8960470,261721389,6983022,31.81017302
(주)넥스턴바이오사이언스,89140,16-Dec,74373034,7156008,74373034,7156008,10.39308983
(주)넥스턴바이오사이언스,89140,17-Dec,43707618,5647335,43707618,5647335,7.739512177
(주)넥스트아이,137940,16-Dec,39439948,1964597,22779239,1472660,20.07533759
(주)넥스트아이,137940,17-Dec,59482937,5551046,26394171,1185309,10.71562675
(주)넥스트엔터테인먼트월드,160550,16-Dec,125723993,0,103941613,0,#DIV/0!
(주)넥스트엔터테인먼트월드,160550,17-Dec,94538544,66103,57004350,18140,1430.170249
(주)넥슨게임즈,225570,16-Dec,0,0,,,#DIV/0!
(주)넥슨게임즈,225570,17-Dec,22407505,0,22407505,0,#DIV/0!
(주)넵튠,217270,16-Dec,18335549,0,7345180,0,#DIV/0!
(주)넵튠,217270,17-Dec,20528450,1974,7112477,0,10399.41743
(주)노블엠앤비,106520,16-Dec,63662855,9553098,52251867,7771135,6.664105717
(주)노블엠앤비,106520,17-Dec,60316673,9921412,55483850,7560899,6.079444438
(주)녹십자셀,31390,16-Dec,28455734,2691479,11908637,670882,10.57252685
(주)녹십자셀,31390,17-Dec,19536787,1352798,19536787,1352798,14.44176218
(주)녹십자엠에스,142280,16-Dec,86162555,13948693,86162555,12529200,6.177105984
(주)녹십자엠에스,142280,17-Dec,98389224,13467906,98107431,11278442,7.305458176
(주)녹원씨엔아이,65560,16-Dec,3875841,349704,3875841,349704,11.08320465
(주)녹원씨엔아이,65560,17-Dec,22075102,4270748,4347268,121005,5.168907648
(주)누리플랜,69140,16-Dec,34411741,1186661,34411741,1186661,28.99879662
(주)누리플랜,69140,17-Dec,35622763,705650,34578601,686545,50.48219797
(주)누리플렉스,40160,16-Dec,51323868,3553611,47591731,3327665,14.4427367
(주)누리플렉스,40160,17-Dec,117558807,25163005,96144114,20757856,4.671890619
(주)뉴로스,126870,16-Dec,44107101,19162934,42756080,16217634,2.301688301
(주)뉴로스,126870,17-Dec,44781756,20023285,42061542,16584374,2.236483974
(주)뉴보텍,60260,16-Dec,35898522,2846116,35898522,2846116,12.61316194
(주)뉴보텍,60260,17-Dec,41019670,2455661,41019670,2455661,16.70412569
(주)뉴인텍,12340,16-Dec,47895458,7755677,43567642,6253370,6.175535417
(주)뉴인텍,12340,17-Dec,50296811,7737651,43807312,6392525,6.500268751
(주)뉴파워프라즈마,144960,16-Dec,67407272,13600526,67392792,13600175,4.95622537
(주)뉴파워프라즈마,144960,17-Dec,104494422,9175284,104485987,9001374,11.3886853
(주)뉴프렉스,85670,16-Dec,145216489,26217729,144618199,24914401,5.538866047
(주)뉴프렉스,85670,17-Dec,152715761,28837820,151335859,28536535,5.295676338
(주)다나와,119860,16-Dec,64407865,1534114,32392617,0,41.98375414
(주)다나와,119860,17-Dec,107606286,3568329,42400067,0,30.15593181
(주)다날,64260,16-Dec,133477893,2643000,132304954,2643000,50.50241884
(주)다날,64260,17-Dec,172882038,1675113,156323605,832660,103.2061944
(주)다산네트웍스,39560,16-Dec,222842801,48411958,28309465,6956433,4.603052845
(주)다산네트웍스,39560,17-Dec,307090231,34286325,29756967,5049490,8.956638864
(주)다우데이타,32190,16-Dec,1378367701,5306459,107492139,4256416,259.7528222
(주)다우데이타,32190,17-Dec,1614385776,9331124,151156995,7728110,173.0108587
(주)다원시스,68240,16-Dec,74193619,3984708,72591838,1973741,18.61958743
(주)다원시스,68240,17-Dec,111462046,10087525,115527028,1978912,11.0494939
(주)대동스틸,48470,16-Dec,68177746,13271089,68177746,13271089,5.1373136
(주)대동스틸,48470,17-Dec,90505698,19031452,90505698,19031452,4.755585543
(주)대륙제관,4780,16-Dec,186222141,25610807,186222141,25610807,7.271232843
(주)대륙제관,4780,17-Dec,197112543,26453415,197112543,26453415,7.451308007
(주)대림제지,17650,16-Dec,67430955,1941859,67430955,1941859,34.72494913
(주)대림제지,17650,17-Dec,118019206,5600903,90533322,3579677,21.07146044
(주)대명소노시즌,7720,16-Dec,217451478,6067905,206149572,6067905,35.83633528
(주)대명소노시즌,7720,17-Dec,235523369,13218759,219151391,6042651,17.81735857
(주)대성미생물연구소,36480,16-Dec,30801319,6465095,30801319,6465095,4.764248476
(주)대성미생물연구소,36480,17-Dec,24043374,6786335,24043374,6786335,3.54290998
(주)대성엘텍,25440,16-Dec,366692739,20422092,352277390,18822167,17.95568931
(주)대성엘텍,25440,17-Dec,350575739,20025770,344500547,17955160,17.50623017
(주)대성파인텍,104040,16-Dec,47677369,5371795,46924145,5272194,8.875500461
(주)대성파인텍,104040,17-Dec,43233993,6465813,42539088,6293455,6.686551714
(주)대원,7680,16-Dec,267470103,96953135,226695965,71219690,2.75875662
(주)대원,7680,17-Dec,289919901,109699336,260757969,86781748,2.642859215
(주)대창솔루션,96350,16-Dec,49327918,14071423,36520316,9870451,3.505538708
(주)대창솔루션,96350,17-Dec,42774854,14127332,30923027,10193157,3.027808365
(주)대창스틸,140520,16-Dec,302662749,45715695,239314048,31163137,6.620543535
(주)대창스틸,140520,17-Dec,318055221,62748888,244793248,38739460,5.068698923
(주)대한과학,131220,16-Dec,46070953,14058817,38812724,11282676,3.277014915
(주)대한과학,131220,17-Dec,41364830,13815930,31663846,11098467,2.993995337
(주)대호특수강,21040,16-Dec,185678388,22727851,185678388,22727851,8.169641204
(주)대호특수강,21040,17-Dec,205306467,28900545,205306467,28900545,7.103896034
(주)더 미동,161570,16-Dec,28872693,1067169,28872693,1067169,27.05540828
(주)더 미동,161570,17-Dec,28157406,306480,28132442,293151,91.87355129
(주)더블유게임즈,192080,16-Dec,155636444,0,155159525,0,#DIV/0!
(주)더블유게임즈,192080,17-Dec,319345253,0,161222279,0,#DIV/0!
(주)더블유아이,73570,16-Dec,4764944,28811,4764944,28811,165.3862761
(주)더블유아이,73570,17-Dec,12072601,0,10064001,0,#DIV/0!
(주)덕신하우징,90410,16-Dec,121634452,17834826,120269693,15646575,6.820052632
(주)덕신하우징,90410,17-Dec,125887825,15667772,122876930,13306664,8.034826202
(주)데이타솔루션,263800,16-Dec,100819750,5838528,100819750,5838528,17.26800831
(주)데이타솔루션,263800,17-Dec,90041947,11394592,90041947,11394592,7.90216508
(주)데코앤이,17680,16-Dec,55398415,19118998,41605038,11719381,2.897558491
(주)데코앤이,17680,17-Dec,46847589,13969419,39642881,12043782,3.353581777
(주)덱스터스튜디오,206560,16-Dec,31776984,0,31776984,0,#DIV/0!
(주)덱스터스튜디오,206560,17-Dec,25334023,0,24984428,0,#DIV/0!
(주)덴티스,261200,16-Dec,0,0,,,#DIV/0!
(주)덴티스,261200,17-Dec,0,0,,,#DIV/0!
(주)동구바이오제약,6620,16-Dec,87363407,10660337,87363407,10660337,8.195182479
(주)동구바이오제약,6620,17-Dec,101124256,12145790,101124256,12145790,8.325868964
(주)동국알앤에스,75970,16-Dec,94528209,20915263,67042606,14530621,4.519580222
(주)동국알앤에스,75970,17-Dec,95193818,28993382,68756029,19164289,3.283294719
(주)동국에스엔씨,100130,16-Dec,383878885,87325320,207195857,48837727,4.395963107
(주)동국에스엔씨,100130,17-Dec,367922824,71713682,172792712,32944012,5.130441134
(주)동방선기,99410,16-Dec,29202617,3950686,29215663,2803278,7.391783857
(주)동방선기,99410,17-Dec,19302291,2160180,19302291,2160180,8.935501208
(주)동성화인텍,33500,16-Dec,335005289,59748892,332654028,59748892,5.606887053
(주)동성화인텍,33500,17-Dec,230970494,29070381,212626849,28832345,7.945217299
(주)동아엘텍,88130,16-Dec,216159935,2975853,73871347,1444804,72.63797473
(주)동아엘텍,88130,17-Dec,250506618,4348615,124693976,3324867,57.60606952
(주)동양에스텍,60380,16-Dec,151970509,14179762,134441550,10730196,10.71742311
(주)동양에스텍,60380,17-Dec,186236108,21312773,159869610,17407191,8.738239177
(주)동우팜투테이블,88910,16-Dec,235752895,3606082,235752895,3606082,65.37646537
(주)동우팜투테이블,88910,17-Dec,230843688,2661697,230843688,2661697,86.72801149
(주)동운아나텍,94170,16-Dec,54673627,10008933,54673627,10008933,5.462483064
(주)동운아나텍,94170,17-Dec,54989112,8851660,54989112,8851660,6.212293739
(주)동원개발,13120,16-Dec,534393481,198420261,534393481,198420261,2.69324049
(주)동원개발,13120,17-Dec,563013434,126450142,563013434,126450142,4.452453948
(주)동일기연,32960,16-Dec,28280102,9369462,28273584,8993220,3.0183272
