회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결),재고자산(*)(IFRS연결),매출액(수익)(*)(IFRS),재고자산(*)(IFRS),재고자산회전률2019
(주)CMG제약,58820,18-Dec,49864782,8572582,49864782,8572582,5.816775156
(주)CMG제약,58820,19-Dec,58622681,9048933,58622681,9048933,6.478408117
(주)ES큐브,50120,18-Dec,33763508,9236879,31308873,560371,3.655293958
(주)ES큐브,50120,19-Dec,43708239,7648032,28527284,468610,5.714965497
(주)가비아,79940,18-Dec,128728438,1982294,55197652,0,64.93912507
(주)가비아,79940,19-Dec,148306878,2643604,58254105,0,56.10026237
(주)강스템바이오텍,217730,18-Dec,9165454,1918575,1001039,501972,4.777219551
(주)강스템바이오텍,217730,19-Dec,6004584,266393,282069,34319,22.54032201
(주)강원에너지,114190,18-Dec,85905365,543737,85905365,543737,157.9906554
(주)강원에너지,114190,19-Dec,42549622,118784,42549622,118784,358.2100451
(주)고려시멘트,198440,18-Dec,85775723,4242987,85775723,4242987,20.21588164
(주)고려시멘트,198440,19-Dec,70921781,6942200,70921781,6942200,10.21603829
(주)고영테크놀러지,98460,18-Dec,238208865,31398344,219818022,19487304,7.586669698
(주)고영테크놀러지,98460,19-Dec,222057035,36331529,209480760,21338197,6.111965037
(주)골드앤에스,35290,18-Dec,8680452,1290682,8680452,1290682,6.725476918
(주)골드앤에스,35290,19-Dec,7642733,498013,7642733,498013,15.3464528
(주)골드퍼시픽,38530,18-Dec,5708281,1607114,5580994,807960,3.551883065
(주)골드퍼시픽,38530,19-Dec,11323125,3548341,11323125,3548341,3.191103955
(주)골프존,215000,18-Dec,198705194,10498417,191571105,7999910,18.92715768
(주)골프존,215000,19-Dec,247018099,10880176,239051647,7433871,22.70350213
(주)골프존뉴딘홀딩스,121440,18-Dec,223036801,51388491,16100354,0,4.340209192
(주)골프존뉴딘홀딩스,121440,19-Dec,228935651,48390470,26897482,0,4.731006973
(주)광림,14200,18-Dec,136595300,25240021,75493055,19113946,5.411853659
(주)광림,14200,19-Dec,145864184,27735699,93241157,19396901,5.259077264
(주)광무,29480,18-Dec,23074941,571473,20707286,286303,40.37800736
(주)광무,29480,19-Dec,36483979,505706,25244176,482591,72.14464333
(주)구스앤홈,329050,18-Dec,0,0,,,#DIV/0!
(주)구스앤홈,329050,19-Dec,0,0,,,#DIV/0!
(주)구영테크,53270,18-Dec,195238339,31595113,81928926,10320023,6.179384103
(주)구영테크,53270,19-Dec,230853336,34405094,93132845,9542656,6.709859185
(주)국보디자인,66620,18-Dec,254259835,0,231093439,0,#DIV/0!
(주)국보디자인,66620,19-Dec,269005976,0,237054909,0,#DIV/0!
(주)국순당,43650,18-Dec,61496072,14888891,52679104,10860632,4.130332608
(주)국순당,43650,19-Dec,102095769,16017909,48045002,10459069,6.373851231
(주)국영지앤엠,6050,18-Dec,56301480,2641685,56301480,2641685,21.31271518
(주)국영지앤엠,6050,19-Dec,73013468,2586636,73013468,2586636,28.22719084
(주)국전약품,307750,18-Dec,0,0,,,#DIV/0!
(주)국전약품,307750,19-Dec,0,0,,,#DIV/0!
(주)그래디언트,35080,18-Dec,3440906300,166911756,12237889,0,20.61512252
(주)그래디언트,35080,19-Dec,3412333826,85519268,8719700,0,39.90134511
(주)그리티,204020,18-Dec,119259702,40441857,117056356,30715245,2.948917553
(주)그리티,204020,19-Dec,123079831,42201748,120984485,32650635,2.916462868
(주)그린플러스,186230,18-Dec,46357455,6294971,42150610,6115037,7.364204696
(주)그린플러스,186230,19-Dec,48831866,6019316,39502728,5842839,8.112527403
(주)글로벌스탠다드테크놀로지,83450,18-Dec,129850197,18514976,115619452,11906377,7.013252245
(주)글로벌스탠다드테크놀로지,83450,19-Dec,168231754,21844307,150777009,17832463,7.701400369
(주)금빛,45890,18-Dec,53162303,15871901,50396516,12079793,3.349460345
(주)금빛,45890,19-Dec,58651417,12196401,55240846,9815284,4.808911826
(주)금화피에스시,36190,18-Dec,233326733,1139754,202098199,0,204.7167485
(주)금화피에스시,36190,19-Dec,209435314,1217558,179177462,0,172.0125973
(주)기가레인,49080,18-Dec,124772205,37262134,114668638,35715541,3.348498639
(주)기가레인,49080,19-Dec,72769411,17628230,63361399,15205943,4.1280044
(주)기산텔레콤,35460,18-Dec,56445716,19445191,24864346,3963378,2.902811086
(주)기산텔레콤,35460,19-Dec,67054955,20148676,30545683,3162634,3.328008004
(주)까스텔바작,308100,18-Dec,92346623,34885151,92092225,34885151,2.647161338
(주)까스텔바작,308100,19-Dec,81358617,37141130,81068234,37141130,2.190526163
(주)나노,187790,18-Dec,81942719,23400275,34238747,7901458,3.501784445
(주)나노,187790,19-Dec,73694955,21584379,38421023,9169186,3.414272655
(주)나노브릭,286750,18-Dec,7186469,1590907,7186469,1590907,4.517215023
(주)나노브릭,286750,19-Dec,7775408,1921947,7775408,1921947,4.045589186
(주)나노신소재,121600,18-Dec,52249960,39994521,52249960,39994521,1.306427948
(주)나노신소재,121600,19-Dec,48892961,37755144,48892961,37755144,1.295001312
(주)나노엔텍,39860,18-Dec,25796821,6277557,24871160,5679161,4.109372643
(주)나노엔텍,39860,19-Dec,26255836,6865258,25099090,5753842,3.824450006
(주)나무가,190510,18-Dec,312824892,10307124,199656907,209426,30.3503569
(주)나무가,190510,19-Dec,362063863,40166469,275379664,8877165,9.014082443
(주)나스미디어,89600,18-Dec,106607030,0,71877991,0,#DIV/0!
(주)나스미디어,89600,19-Dec,117006838,0,78372579,0,#DIV/0!
(주)나이벡,138610,18-Dec,5207877,2543370,5207877,2543370,2.04762854
(주)나이벡,138610,19-Dec,9287488,3456755,9287488,3456755,2.686764899
(주)나이스디앤비,130580,18-Dec,52040929,1426,42167015,0,36494.34011
(주)나이스디앤비,130580,19-Dec,77330430,1426,50280560,0,54228.91304
(주)나인테크,267320,18-Dec,0,0,,,#DIV/0!
(주)나인테크,267320,19-Dec,0,0,,,#DIV/0!
(주)내츄럴엔도텍,168330,18-Dec,8928362,5352584,8892649,4988582,1.668047059
(주)내츄럴엔도텍,168330,19-Dec,6580460,2508137,6615116,2262110,2.623644562
(주)네오리진,94860,18-Dec,9064462,1173618,9064462,1173618,7.723519919
(주)네오리진,94860,19-Dec,11270250,595205,11270250,595205,18.93507279
(주)네오셈,253590,18-Dec,0,0,,,#DIV/0!
(주)네오셈,253590,19-Dec,27225588,4876962,25334754,4385704,5.582489263
(주)네오오토,212560,18-Dec,115243742,8121878,115243742,8121878,14.18929735
(주)네오오토,212560,19-Dec,118441501,7791137,118441501,7791137,15.20208167
(주)네오위즈,95660,18-Dec,215490230,14492,155574255,0,14869.59909
(주)네오위즈,95660,19-Dec,254498033,23381,202617148,10708,10884.82242
(주)네오위즈홀딩스,42420,18-Dec,228327081,72074,693917,51870,3167.953506
(주)네오위즈홀딩스,42420,19-Dec,253948130,69190,1860715,45809,3670.301055
(주)네오크레마,311390,18-Dec,21745255,5190668,21745255,5190668,4.189297986
(주)네오크레마,311390,19-Dec,19776649,7195911,18448423,6232997,2.748317621
(주)네오티스,85910,18-Dec,45195339,6245683,45195339,5315220,7.236252464
(주)네오티스,85910,19-Dec,42409365,5267828,42566577,4706137,8.05063586
(주)네오팜,92730,18-Dec,66274582,6844171,66336414,6625564,9.683361506
(주)네오팜,92730,19-Dec,83240333,5840464,83586492,5199580,14.2523493
(주)네오펙트,290660,18-Dec,5653093,2210544,4556630,1104076,2.557331137
(주)네오펙트,290660,19-Dec,12311251,2741235,5240117,939074,4.491133011
(주)네온테크,306620,18-Dec,0,0,,,#DIV/0!
(주)네온테크,306620,19-Dec,0,0,,,#DIV/0!
(주)네이블커뮤니케이션즈,153460,18-Dec,15833273,621850,15833273,621850,25.46156308
(주)네이블커뮤니케이션즈,153460,19-Dec,12360704,76250,12360704,76250,162.1075934
(주)네이처셀,7390,18-Dec,26715298,3203956,26715298,3203956,8.338222497
(주)네이처셀,7390,19-Dec,23072026,3138708,23072026,3138708,7.350803579
(주)네패스,33640,18-Dec,273317888,7513570,267505341,7098710,36.37656773
(주)네패스,33640,19-Dec,356317076,15171237,343577304,12801688,23.48635619
(주)넥스턴바이오사이언스,89140,18-Dec,26649697,18670050,26649697,18670050,1.427403622
(주)넥스턴바이오사이언스,89140,19-Dec,32446754,8215584,32446754,8215584,3.949415404
(주)넥스트아이,137940,18-Dec,87218818,7582942,26390218,1276727,11.50197615
(주)넥스트아이,137940,19-Dec,87989318,3620806,24578616,1016921,24.30103076
(주)넥스트엔터테인먼트월드,160550,18-Dec,161222834,200059,87625568,48717,805.8764365
(주)넥스트엔터테인먼트월드,160550,19-Dec,149180097,512829,65461700,44401,290.8963748
(주)넥슨게임즈,225570,18-Dec,23584094,0,23584094,0,#DIV/0!
(주)넥슨게임즈,225570,19-Dec,28498282,0,28498282,0,#DIV/0!
(주)넵튠,217270,18-Dec,18174243,854,6580514,0,21281.31499
(주)넵튠,217270,19-Dec,18037054,646,7858331,0,27921.13622
(주)노랑풍선,104620,18-Dec,92775360,0,92524044,0,#DIV/0!
(주)노랑풍선,104620,19-Dec,76779803,1096847,75861593,1096847,70.0004677
(주)노바렉스,194700,18-Dec,107311222,13209993,107299812,13196383,8.123488181
(주)노바렉스,194700,19-Dec,159100863,25579645,159077916,25598232,6.219822949
(주)노바텍,285490,18-Dec,25883507,1532552,25865920,1445385,16.88915417
(주)노바텍,285490,19-Dec,26133499,2795193,24833626,1851909,9.349443491
(주)노블엠앤비,106520,18-Dec,64349679,9132612,58748007,5537991,7.046141783
(주)노블엠앤비,106520,19-Dec,75340573,13471018,64600882,12249776,5.592789869
(주)노터스,278650,18-Dec,37237436,1028907,25961720,156918,36.19125538
(주)노터스,278650,19-Dec,46039645,1097559,32452769,238343,41.94730762
(주)녹십자셀,31390,18-Dec,29606475,2127404,27964255,1471357,13.91671493
(주)녹십자셀,31390,19-Dec,37903298,2862410,35697967,2034782,13.24174315
(주)녹십자엠에스,142280,18-Dec,86321905,12043183,86321685,9736281,7.167698523
(주)녹십자엠에스,142280,19-Dec,94085373,11576688,94084564,9183191,8.127140768
(주)녹십자웰빙,234690,18-Dec,53882815,9578037,53882815,9578037,5.625663693
