회사명,거래소코드,회계년도,장기차입금(*)(IFRS),단기차입금(*)(IFRS),유동성장기부채(*)(IFRS),자산(*)(IFRS),장기차입금(*)(IFRS연결),단기차입금(*)(IFRS연결),유동성장기부채(*)(IFRS연결),자산(*)(IFRS연결),차입금의존도
(주)CMG제약,58820,17-Dec,0,0,0,109568153,0,0,0,109568153,0
(주)ES큐브,50120,17-Dec,27400000,0,1200000,104850192,27400000,0,1200000,105892131,0.270086169
(주)가비아,79940,17-Dec,0,0,5500000,64986436,1700000,2400000,5500000,133382584,0.071973414
(주)강스템바이오텍,217730,17-Dec,4260000,0,260000,44508729,4260000,1350000,560000,47198979,0.130723167
(주)강원에너지,114190,17-Dec,0,0,0,87781416,7200000,0,961000,93179394,0.087583742
(주)고려시멘트,198440,17-Dec,2285714,5200000,1371429,115881620,2285714,5200000,1371429,115881620,0.076432682
(주)고영테크놀러지,98460,17-Dec,0,0,0,205696350,0,0,0,205207385,0
(주)골드앤에스,35290,17-Dec,0,1550000,0,16994788,0,1550000,0,17173934,0.090253054
(주)골드퍼시픽,38530,17-Dec,0,0,0,26567967,0,0,0,26567967,0
(주)골프존,215000,17-Dec,9166650,23333320,0,239011847,9166650,23333320,0,253672419,0.12811787
(주)골프존뉴딘홀딩스,121440,17-Dec,16000000,9300000,24000000,536244772,121107143,86932857,0,756500949,0.27500296
(주)광림,14200,17-Dec,562200,40930850,251481,369582323,562200,46280279,251481,208058303,0.226349823
(주)광무,29480,17-Dec,0,845932,5600000,28950503,0,845932,5600000,28950503,0.222653541
(주)구영테크,53270,17-Dec,29458970,24700000,9987460,139584386,42591378,39673968,12791279,187009683,0.508297878
(주)국보디자인,66620,17-Dec,0,0,0,158317679,0,0,0,164381715,0
(주)국순당,43650,17-Dec,0,0,0,208832133,640000,520000,0,242199755,0.004789435
(주)국영지앤엠,6050,17-Dec,2250000,0,500000,66101002,2250000,0,500000,66101002,0.041603
(주)그래디언트,35080,17-Dec,0,9748094,0,344022749,2250000,56006779,2100201,1804533355,0.033447417
(주)글로벌스탠다드테크놀로지,83450,17-Dec,0,2000000,0,88966307,1000000,3000000,0,102400669,0.039062245
(주)금빛,45890,17-Dec,22000000,5965181,10000000,114739264,22000000,5965181,10000000,109637027,0.34628065
(주)금화피에스시,36190,17-Dec,0,0,0,216252318,2935000,0,0,231639148,0.01267057
(주)기가레인,49080,17-Dec,13015860,26649800,18272920,179756049,13015860,27150752,18272920,181628353,0.321753355
(주)기산텔레콤,35460,17-Dec,0,0,0,44554117,0,0,0,70137339,0
(주)나노,187790,17-Dec,3888800,8863432,1893020,59149648,8412611,16894161,1893020,91574665,0.297023112
(주)나노신소재,121600,17-Dec,0,0,240000,89013566,0,0,240000,88963512,0.002697735
(주)나노엔텍,39860,17-Dec,0,0,3000000,45400592,0,0,12541367,42369896,0.295997115
(주)나무가,190510,17-Dec,0,4300000,0,73845257,15956664,35414455,7590697,142414320,0.414016062
(주)나스미디어,89600,17-Dec,0,0,0,239540352,3000000,0,0,315966980,0.009494663
(주)나이벡,138610,17-Dec,897780,920000,1087256,25750373,897780,920000,1087256,25750373,0.112815298
(주)나이스디앤비,130580,17-Dec,0,0,0,43008000,0,0,0,46928148,0
(주)나인테크,267320,17-Dec,,,,,0,0,0,0,#DIV/0!
(주)내츄럴엔도텍,168330,17-Dec,1160000,0,725000,76003964,1160000,0,725000,85682820,0.021999743
(주)네오리진,94860,17-Dec,0,627000,0,17731465,0,627000,0,17683620,0.035456541
