회사명,거래소코드,회계년도,장기차입금(*)(IFRS),단기차입금(*)(IFRS),유동성장기부채(*)(IFRS),자산(*)(IFRS),장기차입금(*)(IFRS연결),단기차입금(*)(IFRS연결),유동성장기부채(*)(IFRS연결),자산(*)(IFRS연결),차입금의존도2019
(주)CMG제약,58820,19-Dec,0,0,0,192243166,0,0,0,192243166,0
(주)ES큐브,50120,19-Dec,24900000,0,1200000,136065488,24900000,2726000,1200000,463958680,0.062130533
(주)가비아,79940,19-Dec,4910996,3000000,0,82964911,11463170,6645286,0,199916131,0.090580264
(주)강스템바이오텍,217730,19-Dec,4000000,0,0,98625925,7655556,240000,83333,113643697,0.070209692
(주)강원에너지,114190,19-Dec,3320000,0,0,55106032,3320000,7200000,0,56602063,0.18585895
(주)고려시멘트,198440,19-Dec,0,11160000,914286,127035573,0,11160000,914286,127035573,0.095046495
(주)고영테크놀러지,98460,19-Dec,0,0,0,308020011,0,0,0,305481184,0
(주)골드앤에스,35290,19-Dec,0,1900000,0,16096170,0,1900000,0,16096170,0.118040503
(주)골드퍼시픽,38530,19-Dec,0,7000000,0,72945743,0,7000000,0,72945743,0.095961734
(주)골프존,215000,19-Dec,0,833330,0,304860836,0,833330,0,312587283,0.002665911
(주)골프존뉴딘홀딩스,121440,19-Dec,54200000,9300000,0,537526345,186266105,44591854,0,776384700,0.297349959
(주)광림,14200,19-Dec,1400000,30190012,500000,193568854,6239252,36955189,1884595,252468254,0.178553285
(주)광무,29480,19-Dec,0,4270000,1070000,57156720,0,5798283,1070000,63139837,0.108778916
(주)구스앤홈,329050,19-Dec,,,,,0,0,0,0,#DIV/0!
(주)구영테크,53270,19-Dec,28475278,14200000,19217024,141034767,35432257,34689847,21715437,206569873,0.444583422
(주)국보디자인,66620,19-Dec,0,0,0,197762410,0,0,0,222514980,0
(주)국순당,43650,19-Dec,0,0,0,210006510,3161700,10536089,150000,252484287,0.054846142
(주)국영지앤엠,6050,19-Dec,1804780,1500000,236520,68657302,1804780,1500000,236520,68657302,0.051579364
(주)국전약품,307750,19-Dec,,,,,0,0,0,0,#DIV/0!
(주)그래디언트,35080,19-Dec,0,11037377,0,336145750,905454,63017377,17449048,1780051911,0.045713206
(주)그리티,204020,19-Dec,0,0,4943135,86803901,0,1441926,1683370,92151596,0.033914725
(주)그린플러스,186230,19-Dec,4705000,5321224,6000000,56587945,13705000,8533305,6000000,72321985,0.390452571
(주)글로벌스탠다드테크놀로지,83450,19-Dec,0,2000000,0,120984040,1500000,4365000,0,136751562,0.042887993
(주)금빛,45890,19-Dec,0,22300000,10000000,101724359,0,23240800,10000000,102849215,0.323199355
(주)금화피에스시,36190,19-Dec,0,0,0,255149491,247500,4424795,0,281692946,0.016586482
(주)기가레인,49080,19-Dec,7391502,27370208,9618798,115539385,9121245,27370208,10187459,117798198,0.396261681
(주)기산텔레콤,35460,19-Dec,0,3440000,221645,40025881,565190,8674398,896166,66789756,0.151756117
(주)까스텔바작,308100,19-Dec,0,0,0,88614189,0,0,0,89005071,0
(주)나노,187790,19-Dec,777760,6594235,1630361,73016346,6857559,16064343,3500282,116141232,0.227500463
(주)나노브릭,286750,19-Dec,300000,3000000,3250000,24551526,300000,3000000,3250000,24551526,0.266785861
(주)나노신소재,121600,19-Dec,0,0,103279,101777474,0,0,138824,101893569,0.001362441
(주)나노엔텍,39860,19-Dec,0,0,0,50554981,0,0,0,46639328,0
(주)나무가,190510,19-Dec,0,12303322,0,157114377,3338266,35898012,5505339,194518538,0.230012098
(주)나스미디어,89600,19-Dec,0,0,0,279587256,0,0,0,356236026,0
(주)나이벡,138610,19-Dec,20830,783000,2025076,35734880,20830,783000,2025076,35734880,0.079163719
(주)나이스디앤비,130580,19-Dec,0,0,0,60523112,0,0,0,78675556,0
(주)나인테크,267320,19-Dec,,,,,0,0,0,0,#DIV/0!
(주)내츄럴엔도텍,168330,19-Dec,1160000,0,80568,46385446,1160000,0,0,48783961,0.023778307
(주)네오리진,94860,19-Dec,0,100000,0,14066760,0,100000,0,14066760,0.007108958
(주)네오셈,253590,19-Dec,11423740,6600000,847120,61104654,11423740,6600000,847120,64170222,0.294075031
(주)네오오토,212560,19-Dec,25864635,0,14048498,141061458,25864635,0,14048498,141061458,0.282948536
(주)네오위즈,95660,19-Dec,0,0,0,364839362,0,0,0,398001624,0
(주)네오위즈홀딩스,42420,19-Dec,0,0,45467,305733563,0,0,0,622123554,0
(주)네오크레마,311390,19-Dec,5600000,99,0,45863302,5604030,456099,1240,47211442,0.128387712
