,Unnamed: 0,회사명,거래소코드,회계년도,자산(*)(IFRS연결),자산(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS연결),* (정상)영업손익(보고서기재)(IFRS),당기순이익(손실)(IFRS연결),당기순이익(손실)(IFRS),총자본증가율,영업이익증가율,순이익증가율
0,0,(주)CMG제약,58820,16-Dec,110979867,110979867.0,1730753,1730753.0,1727895,1693463.0,,,
1,1,(주)CMG제약,58820,17-Dec,109568153,109568153.0,1558607,1558607.0,2834901,2834901.0,-1.272045136,-9.94630660758641,64.06674016650318
2,2,(주)ES큐브,50120,16-Dec,105164626,104459992.0,2161041,2359527.0,21541047,17469014.0,,,
3,3,(주)ES큐브,50120,17-Dec,105892131,104850192.0,2248520,2170102.0,1737925,1218923.0,0.69177729,4.048002791247366,-91.93203097323914
4,4,(주)가비아,79940,16-Dec,125796754,61160981.0,12549259,3981746.0,10177685,3544032.0,,,
5,5,(주)가비아,79940,17-Dec,133382584,64986436.0,12712157,3176328.0,9669613,2493743.0,6.030227139,1.2980686748117956,-4.992019304979473
6,6,(주)강스템바이오텍,217730,16-Dec,47441769,47441769.0,-9117541,-9117541.0,-8300375,-8300375.0,,,
7,7,(주)강스템바이오텍,217730,17-Dec,47198979,44508729.0,-11737865,-11132505.0,-11531949,-10855842.0,-0.511764222,-28.739371723143336,-38.93286749092661
8,8,(주)강원에너지,114190,16-Dec,77186606,70850137.0,-1311190,-901973.0,-1125371,-762058.0,,,
9,9,(주)강원에너지,114190,17-Dec,93179394,87781416.0,-5588512,-5421114.0,-6451819,-6291307.0,20.71964144,-326.2167954301055,-473.3059586571895
10,10,(주)고려시멘트,198440,16-Dec,0,,0,,0,,,0.0,0.0
11,11,(주)고려시멘트,198440,17-Dec,115881620,115881620.0,3017621,3017621.0,1003761,1003761.0,inf,0.0,0.0
12,12,(주)고영테크놀러지,98460,16-Dec,195121241,194332855.0,33184488,31039820.0,29723733,28063238.0,,,
13,13,(주)고영테크놀러지,98460,17-Dec,205207385,205696350.0,43748905,45513084.0,26734105,28907302.0,5.169167615,31.835407555481947,-10.058050245573124
