,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,회사명,거래소코드,회계년도,자산(*)(IFRS연결),자산(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS연결),* (정상)영업손익(보고서기재)(IFRS),당기순이익(손실)(IFRS연결),당기순이익(손실)(IFRS),총자본증가율,영업이익증가율,순이익증가율
0,0,0,0,(주)CMG제약,58820,18-Dec,114379880,114379880.0,2567820,2567820.0,6065026,6065026.0,,,
1,1,1,1,(주)CMG제약,58820,19-Dec,192243166,192243166.0,2603774,2603774.0,3051177,3051177.0,68.07428544,1.400176024799246,-49.692268425559924
2,2,2,2,(주)ES큐브,50120,18-Dec,112430896,108481764.0,-1211129,691469.0,-6121462,-3836071.0,,,
3,3,3,3,(주)ES큐브,50120,19-Dec,463958680,136065488.0,-2617071,587700.0,-13767748,-12738710.0,312.6611959,-116.08523947490316,-124.90947423997731
4,4,4,4,(주)가비아,79940,18-Dec,151440505,69315988.0,18188449,4106091.0,15340647,2762732.0,,,
5,5,5,5,(주)가비아,79940,19-Dec,199916131,82964911.0,23736596,4889113.0,21102390,4654769.0,32.00968327,30.503683958978577,37.5586701134574
6,6,6,6,(주)강스템바이오텍,217730,18-Dec,73194018,66184838.0,-11693969,-10525345.0,-14294032,-13500909.0,,,
7,7,7,7,(주)강스템바이오텍,217730,19-Dec,113643697,98625925.0,-23153708,-19411148.0,-26394472,-25001590.0,55.26364053,-97.9970017023305,-84.65379117662533
8,8,8,8,(주)강원에너지,114190,18-Dec,93845576,89619750.0,341329,532248.0,1708887,1977524.0,,,
9,9,9,9,(주)강원에너지,114190,19-Dec,56602063,55106032.0,-17175963,-17150531.0,-35647438,-33460765.0,-39.68595494,-5132.084294038889,-2186.0032290022687
10,10,10,10,(주)고려시멘트,198440,18-Dec,127536833,127536833.0,3837563,3837563.0,4645869,4645869.0,,,
11,11,11,11,(주)고려시멘트,198440,19-Dec,127035573,127035573.0,-459627,-459627.0,3396444,3396444.0,-0.393031557,-111.9770542,-26.89324645
12,12,12,12,(주)고영테크놀러지,98460,18-Dec,279059436,279985447.0,45983316,46196834.0,42309672,42430216.0,,,
13,13,13,13,(주)고영테크놀러지,98460,19-Dec,305481184,308020011.0,33331312,40057965.0,29559680,34702997.0,9.468143553,-27.514335851725,-30.134934631495135
