회사명,거래소코드,회계년도,유동부채비율(IFRS연결),매출액순이익률(IFRS연결),총자본증가율(IFRS연결),순이익증가율(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),금융비용 대 총비용비율(IFRS연결),설비투자효율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),자본금회전률(IFRS연결),총자본투자효율(IFRS연결),총자본회전률(IFRS연결),유동자산증가율(IFRS연결),매출액증가율(IFRS연결),매출액총이익률(IFRS연결),자기자본순이익률(IFRS연결),매출채권회전률(IFRS연결),재고자산회전률(IFRS연결),유형자산회전율(IFRS연결),매출원가 대 매출액비율(IFRS연결),부채비율(IFRS연결),유동비율(IFRS연결),자기자본배율(IFRS연결),당좌비율(IFRS연결),순운전자본비율(IFRS연결),현금비율(IFRS연결),타인자본회전률(IFRS연결),정상영업이익증가율(IFRS연결),총자본순이익률(IFRS연결)
(주)CMG제약,58820,19-Dec,5.17,5.2,68.07,-49.69,3.16,15.35,0.15,303,-1.91,114.6,0.96,0.95,9.9,0.38,85.06,17.56,49.34,2.15,3.12,6.65,2.83,50.66,6.71,1618.07,259.42,1520.84,73.49,199.55,5.21,1.4,1.99
(주)ES큐브,50120,19-Dec,310.83,-31.5,312.66,0,84.97,9.52,14.85,-0.68,5.02,-3.22,8,1.04,-0.12,0.15,696.75,29.45,18.75,-21.76,0.42,5.18,2.69,81.25,526.65,156.01,129.45,152.69,27.78,48.38,0.2,0,-4.78
(주)가비아,79940,19-Dec,31.93,14.23,32.01,43.49,19.83,45.28,17.58,34.25,0.03,209.21,14.71,21.91,66.57,0.84,11.3,15.21,48.99,15.73,7.19,64.12,2.21,51.01,48.13,201.58,1081.94,195.45,21.9,66.71,2.9,30.5,12.01
(주)강스템바이오텍,217730,19-Dec,29.98,-439.57,55.26,0,-206.5,-27.6,27.22,-21.5,1.89,-255.84,-10.91,0.53,-11.83,0.06,13.09,-34.49,-7.07,-41.61,5.06,5.5,0.26,107.07,65.37,268.99,587.15,267.69,30.63,37.29,0.17,0,-28.25
(주)강원에너지,114190,19-Dec,145.99,-83.78,-39.69,-1763.05,-3.78,-4.53,32.91,-8.38,1.96,-275.98,-2.84,5.19,-43.28,0.57,-56.71,-50.47,-14.43,-94.77,1.53,128.45,3.38,114.43,167.94,99.04,242.2,98.65,-0.52,11.8,1.08,-5132.09,-47.39
(주)고려시멘트,198440,19-Dec,31.66,4.79,-0.39,-26.89,3.24,5.95,9.5,-1.08,-0.22,32.34,1.81,22.18,12.76,0.56,-6.73,-17.32,7.5,3.88,2.53,12.68,1.42,92.5,43.63,166.4,2765.65,141.61,14.64,15.86,1.78,0,2.67
(주)고영테크놀러지,98460,19-Dec,15.76,13.31,9.47,-30.13,11.47,41.2,4.22,112.96,-0.65,225.13,8.34,32.41,26.43,0.76,-0.78,-6.78,63.58,12.59,2.73,6.56,6.31,36.42,25.37,587.8,3552.55,493.22,61.34,70.8,3.86,-27.51,10.11
(주)골드앤에스,35290,19-Dec,0,-325.58,-62.1,0,-63.09,-22.76,112.14,-1.46,13.94,-431.91,-29.96,1.21,-99.2,0.26,-81.41,-11.95,17.66,-572.47,6.44,8.55,1.02,82.34,0,18.57,-396.01,16.21,-106.52,3.6,0.31,0,-84.97
(주)골드퍼시픽,38530,19-Dec,239.48,-279.11,95.63,0,-24.59,-5.37,66.47,-0.89,0,-2778.35,-3.82,0.89,-34.62,0.21,29.31,102.89,29.09,-153.58,4.9,5.2,22.82,70.91,246.22,56.4,124.45,49.36,-30.16,12.59,0.33,0,-57.34
(주)골프존,215000,19-Dec,30.53,6.56,23.04,-20.6,14.65,32.16,18.21,32.18,-0.42,88.99,11.58,78.73,31.88,0.87,-43.74,24.31,62,8.21,14.18,23.11,2.48,38,56.26,133.84,6375.45,116.02,6.61,26.2,2.88,14.69,5.72
(주)골프존뉴딘홀딩스,121440,19-Dec,19.08,-15.22,0.21,0,-3.17,-2.2,32.57,-0.36,3.4,8.42,-0.93,10.69,3.91,0.3,25.76,2.64,38.58,-6.89,21.94,4.59,0.62,61.42,73.61,147.33,2094.93,90.62,5.2,39.3,0.74,-425.38,-4.49
(주)광림,14200,19-Dec,163.61,-9.6,34.43,0,-8.75,-7.89,42.5,-2.3,2.21,38.25,-5.06,5.69,8.91,0.66,52.04,6.79,7.47,-7.84,6.61,5.51,2.44,92.53,178.13,77.11,295.96,58.44,-13.46,12.03,1.12,0,-6.36
(주)광무,29480,19-Dec,158.2,-17.6,122.08,0,-5.15,-4.67,38.16,-2.9,1.61,163.65,-2.98,3.25,9.9,0.8,127.19,58.11,40.05,-38.68,5.34,67.74,5.9,59.95,176.39,108.76,364.84,107.36,5.02,47.55,1.26,0,-14.02
(주)구스앤홈,329050,19-Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(주)구영테크,53270,19-Dec,124.6,1.47,1.97,-43.49,2.37,4.05,45.39,1.33,1.69,40.32,2.64,17.49,23.26,1.13,15.51,18.24,9.61,4.8,10.58,7,1.81,90.39,188.09,78.53,543.33,40.02,-9.29,6.93,1.72,-2.6,1.66
(주)국보디자인,66620,19-Dec,76.46,5.93,27.12,14.92,1.59,4.31,0.26,592.26,-0.89,945.33,1.92,71.73,35.7,1.35,36.86,5.8,11.99,13.75,121.22,0,34.63,88.01,80.37,206.55,3289.7,206.55,45.16,16.28,3.25,-29.8,8.02
(주)국순당,43650,19-Dec,16.52,-8.1,5.81,0,-4.87,-10.46,8.98,-4.32,0.15,19.02,-1.97,11.43,5.91,0.42,8.13,66.02,27.85,-2.47,11.26,6.61,1.4,72.15,23.19,232.87,2242.89,185.56,17.82,107.45,2.9,0,-3.37
(주)국영지앤엠,6050,19-Dec,23.24,1.49,13.79,0,1.83,8.45,6.81,15.75,-0.07,26.03,1.95,4.18,11.78,1.13,27.57,29.68,4.51,2.08,29.48,27.93,2.37,95.49,29.97,261.22,302.77,240.15,28.83,77.08,5.98,0,1.69
(주)국전약품,307750,19-Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(주)그래디언트,35080,19-Dec,146.37,0.19,-1.64,0,3.31,10.18,7.52,10.13,-0.04,206.58,6.35,112.17,13.3,1.9,-4.37,-0.83,11.1,-1.6,7,27.04,33.87,88.9,165.84,123.13,961.68,114.41,12.74,14.6,3.09,126.23,0.36
(주)그리티,204020,19-Dec,23.31,1.27,-3.76,-64.91,1.52,10.42,8.14,4.95,-0.03,599.19,2.03,15.43,19.31,1.31,-7.3,3.2,54.17,2.43,15.7,2.98,64.08,45.83,24.23,477.62,706.09,233.61,70.87,6.18,6.27,-63.78,1.66
(주)그린플러스,186230,19-Dec,46.66,5.19,13.5,13.6,-5.45,-7.62,41.21,3.03,3.59,44.61,-3.68,23.52,19.81,0.72,36.93,5.34,19.36,8.37,4.32,7.93,1.51,80.64,93.42,220.53,1513.21,186.04,29.08,27.72,1.31,-0.57,3.72
(주)글로벌스탠다드테크놀로지,83450,19-Dec,30.07,10.68,30.21,85.7,6.44,32.38,4.54,122.37,-0.01,186.83,7.92,36.11,52.25,1.39,62.81,29.56,39.44,19.83,6.41,8.34,4.37,60.56,32.37,286.47,2131.39,216.14,42.35,82.31,6.39,110.54,14.86
