회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),현금및현금성자산(*)(IFRS연결)(천원)
(주)CMG제약,58820,16-Dec,110979867,9872232,101107635,2148521
(주)CMG제약,58820,17-Dec,109568153,11624134,97944019,3799004
(주)ES큐브,50120,16-Dec,105164626,33468504,71696122,31283393
(주)ES큐브,50120,17-Dec,105892131,33075251,72816880,24250014
(주)가비아,79940,16-Dec,125796754,29844914,95951841,25443558
(주)가비아,79940,17-Dec,133382584,33486064,99896520,29957017
(주)강스템바이오텍,217730,16-Dec,47441769,24464858,22976911,1928057
(주)강스템바이오텍,217730,17-Dec,47198979,22716816,24482163,3913815
(주)강원에너지,114190,16-Dec,77186606,22097916,55088690,15897705
(주)강원에너지,114190,17-Dec,93179394,44876384,48303010,14071336
(주)고려시멘트,198440,16-Dec,0,0,0,0
(주)고려시멘트,198440,17-Dec,115881620,38487512,77394108,674614
(주)고영테크놀러지,98460,16-Dec,195121241,37853661,157267580,46315100
(주)고영테크놀러지,98460,17-Dec,205207385,43890214,161317171,46011955
(주)골드앤에스,35290,16-Dec,18671644,4403117,14268527,484456
(주)골드앤에스,35290,17-Dec,17173934,3827858,13346076,2145751
(주)골드퍼시픽,38530,16-Dec,11122066,9232425,1889641,2569857
(주)골드퍼시픽,38530,17-Dec,26567967,21203473,5364494,5318902
(주)골프존,215000,16-Dec,187914226,67265600,120648626,31360784
(주)골프존,215000,17-Dec,253672419,64290538,189381881,110551312
(주)골프존뉴딘홀딩스,121440,16-Dec,760772930,232685516,528087415,33048169
(주)골프존뉴딘홀딩스,121440,17-Dec,756500949,255588307,500912642,48015516
(주)광림,14200,16-Dec,229596737,116090771,113505965,29041469
(주)광림,14200,17-Dec,208058303,100367615,107690687,31653363
(주)광무,29480,16-Dec,29089768,21036538,8053231,5376790
(주)광무,29480,17-Dec,28950503,15398329,13552175,971317
(주)구영테크,53270,16-Dec,166748490,108968199,57780291,8429682
(주)구영테크,53270,17-Dec,187009683,131198641,55811041,12868009
(주)국보디자인,66620,16-Dec,158452485,71523640,86928845,12617207
(주)국보디자인,66620,17-Dec,164381715,65097890,99283826,26550428
(주)국순당,43650,16-Dec,213004831,18986190,194018641,24730729
(주)국순당,43650,17-Dec,242199755,20660503,221539252,36104178
(주)국영지앤엠,6050,16-Dec,65670915,15112874,50558041,10198910
(주)국영지앤엠,6050,17-Dec,66101002,13489458,52611544,7287033
(주)그래디언트,35080,16-Dec,2073537018,1233206219,840330799,139604598
(주)그래디언트,35080,17-Dec,1804533355,1062216374,742316982,133905382
(주)글로벌스탠다드테크놀로지,83450,16-Dec,89405841,28626022,60779819,12768576
(주)글로벌스탠다드테크놀로지,83450,17-Dec,102400669,24125110,78275559,19097277
(주)금빛,45890,16-Dec,110712919,57793282,52919637,2701551
(주)금빛,45890,17-Dec,109637027,64779352,44857675,3953213
(주)금화피에스시,36190,16-Dec,215036137,46326207,168709929,21004167
(주)금화피에스시,36190,17-Dec,231639148,47411791,184227358,23281103
(주)기가레인,49080,16-Dec,155732003,98134514,57597489,9619384
(주)기가레인,49080,17-Dec,181628353,92959232,88669121,7394924
(주)기산텔레콤,35460,16-Dec,74209973,34339130,39870843,16070259
(주)기산텔레콤,35460,17-Dec,70137339,35145065,34992274,15802190
(주)나노,187790,16-Dec,83440884,49121575,34319308,3411306
(주)나노,187790,17-Dec,91574665,46672426,44902238,4796891
(주)나노신소재,121600,16-Dec,84239207,6650128,77589079,12910461
(주)나노신소재,121600,17-Dec,88963512,6050113,82913399,6529309
(주)나노엔텍,39860,16-Dec,45707894,20131098,25576796,8945503
(주)나노엔텍,39860,17-Dec,42369896,18638896,23731000,9764286
(주)나무가,190510,16-Dec,195912474,124201656,71710818,42267103
(주)나무가,190510,17-Dec,142414320,111824687,30589633,18310609
(주)나스미디어,89600,16-Dec,263925022,159501794,104423228,27550011
(주)나스미디어,89600,17-Dec,315966980,188197213,127769767,17298693
(주)나이벡,138610,16-Dec,22969642,13128458,9841184,4613093
(주)나이벡,138610,17-Dec,25750373,13388514,12361859,5276939
(주)나이스디앤비,130580,16-Dec,40466208,6735480,33730728,7275060
(주)나이스디앤비,130580,17-Dec,46928148,8392053,38536096,9146609
(주)나인테크,267320,17-Dec,0,0,0,0
(주)내츄럴엔도텍,168330,16-Dec,85875253,38578324,47296929,16312173
(주)내츄럴엔도텍,168330,17-Dec,85682820,30963364,54719456,6451918
(주)네오리진,94860,16-Dec,15595920,3786373,11809547,2910644
(주)네오리진,94860,17-Dec,17683620,3137509,14546111,3308569
(주)네오오토,212560,16-Dec,134856787,65808367,69048419,14276635
(주)네오오토,212560,17-Dec,137106556,64596982,72509574,9861131
(주)네오위즈,95660,16-Dec,317438639,46384073,271054566,66528854
(주)네오위즈,95660,17-Dec,304359379,39611170,264748209,63637464
(주)네오위즈홀딩스,42420,16-Dec,533357640,54350324,479007316,68971185
(주)네오위즈홀딩스,42420,17-Dec,524777876,48395657,476382219,71817101
(주)네오티스,85910,16-Dec,84886956,28539767,56347189,6925377
(주)네오티스,85910,17-Dec,81029245,34949154,46080092,6713312
(주)네오팜,92730,16-Dec,46509145,7938253,38570892,7612908
(주)네오팜,92730,17-Dec,56694807,9112893,47581915,4244305
(주)네이블커뮤니케이션즈,153460,16-Dec,38055743,5014357,33041386,17233508
(주)네이블커뮤니케이션즈,153460,17-Dec,30886559,4180943,26705616,10876634
(주)네이처셀,7390,16-Dec,52666628,18648340,34018288,3447384
(주)네이처셀,7390,17-Dec,51440663,11958755,39481908,9043835
(주)네패스,33640,16-Dec,298597454,182776266,115821188,48895827
(주)네패스,33640,17-Dec,308121193,187246466,120874727,47967806
