회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결),자산(*)(IFRS연결),당기순이익(손실)(IFRS연결),현금및현금성자산(*)(IFRS연결),이자비용(IFRS연결),부채(*)(IFRS연결),자본(*)(IFRS연결),* (정상)영업손익(보고서기재)(IFRS연결),판매비와 관리비(물류원가 등 포함)(*)(IFRS연결),비유동자산(*)(IFRS연결),이익잉여금(*)(연결)
(주)CMG제약,58820,19-Dec,58622681,192243166,3051177,18579821,8593,12084883,180158283,2603774,26318857,41659100,5054709
(주)ES큐브,50120,19-Dec,43708239,463958680,-13767748,111347468,3824474,389920168,74038512,-2617071,10814519,104927987,6015932
(주)가비아,79940,19-Dec,148306878,199916131,21102390,28753330,693082,64956993,134959139,23736596,48919898,113035325,70637536
(주)강스템바이오텍,217730,19-Dec,6004584,113643697,-26394472,7680863,1076801,44924460,68719236,-23153708,22729347,58235602,-77231627
(주)강원에너지,114190,19-Dec,42549622,56602063,-35647438,3637753,2048603,35477506,21124556,-17175963,11036729,26057831,-8042133
(주)고려시멘트,198440,19-Dec,70921781,127035573,3396444,4440035,425258,38590195,88445378,-459627,5781918,80444290,38016547
(주)고영테크놀러지,98460,19-Dec,222057035,305481184,29559680,27196310,295067,61812656,243668528,33331312,107860718,79683935,209875241
(주)골드앤에스,35290,19-Dec,7642733,16096170,-24883278,758085,4887799,21187743,-5091573,-7142117,8491730,12185981,-54531706
(주)골드퍼시픽,38530,19-Dec,11323125,72945743,-31603970,6350030,3838407,51876425,21069318,-3421041,6714790,44490596,-36661189
(주)골프존,215000,19-Dec,247018099,312587283,16213888,15998293,1003551,112544404,200042879,32297494,120861039,230856814,127176545
(주)골프존뉴딘홀딩스,121440,19-Dec,228935651,776384700,-34848135,33530564,10033230,329187192,447197508,-3625436,91951161,650668195,142441158
(주)광림,14200,19-Dec,145864184,252468254,-14006972,17865642,4779694,161696117,90772137,-10983157,21882738,137941785,-11628397
(주)광무,29480,19-Dec,36483979,63139837,-6421201,17184794,1037639,40295715,22844122,-3012624,17625827,23832076,-12004089
(주)구스앤홈,329050,19-Dec,0,0,0,0,0,0,0,0,0,0,0
(주)구영테크,53270,19-Dec,230853336,206569873,3387486,6189218,3945636,134865616,71704257,5239175,16946995,136404800,39787082
(주)국보디자인,66620,19-Dec,269005976,222514980,15942956,15351377,19514,99151096,123363884,11557298,20685006,27696389,115352984
(주)국순당,43650,19-Dec,102095769,252484287,-8269903,36376370,1381287,47525638,204958649,-5966921,34397559,173649732,169711448
(주)국영지앤엠,6050,19-Dec,73013468,68657302,1089819,9462857,62923,15830851,52826451,991045,2300874,36588978,20943044
(주)국전약품,307750,19-Dec,0,0,0,0,0,0,0,0,0,0,0
(주)그래디언트,35080,19-Dec,3412333826,1780051911,6507368,143135378,4459859,1110465400,669586510,45164129,333768264,573250573,158093092
(주)그리티,204020,19-Dec,123079831,92151596,1563323,1068615,588632,17970493,74181103,2913982,63757899,9547763,39800315
(주)그린플러스,186230,19-Dec,48831866,72321985,2533086,4837160,1673740,34930648,37391337,5077238,4374729,33841966,12461163
(주)글로벌스탠다드테크놀로지,83450,19-Dec,168231754,136751562,17968416,25567080,179031,33440861,103310701,21908352,44435955,47773118,87791080
(주)금빛,45890,19-Dec,58651417,102849215,-36823868,4129132,3954193,71819944,31029271,-16108710,24945329,65510872,-48599083
(주)금화피에스시,36190,19-Dec,209435314,281692946,27677441,32113492,122479,42283315,239409631,34327291,9314629,97683763,230046722
(주)기가레인,49080,19-Dec,72769411,117798198,-46059977,5853130,3660524,89733582,28064616,-29598747,16912543,57664364,-68931678
(주)기산텔레콤,35460,19-Dec,67054955,66789756,3498486,14470449,602749,32098792,34690964,3995820,10390345,17736109,-16929631
(주)까스텔바작,308100,19-Dec,81358617,89005071,6869624,15122601,41970,12326845,76678226,9018785,41101039,22804067,22452143
(주)나노,187790,19-Dec,73694955,116141232,-298564,8927634,1619670,54119319,62021912,-869772,8079981,66992710,16583245
(주)나노브릭,286750,19-Dec,7775408,24551526,-780552,906003,447474,10401714,14149812,-1512607,3413171,12837283,-21217693
(주)나노신소재,121600,19-Dec,48892961,101893569,5801286,12604945,119864,8105979,93787590,5143898,14173740,27380713,51427317
(주)나노엔텍,39860,19-Dec,26255836,46639328,5749945,9782044,22777,5613637,41025691,3051217,9655406,19392270,8111399
(주)나무가,190510,19-Dec,362063863,194518538,-585939,8017675,2326323,150249899,44268639,2666025,17664040,80973984,-21885244
(주)나스미디어,89600,19-Dec,117006838,356236026,22484088,28879878,851345,203104630,153131396,30558603,86448235,76205109,101594616
(주)나이벡,138610,19-Dec,9287488,35734880,-2726636,4505044,431560,8330838,27404041,-960252,4938515,18659165,-26109274
