,회사명,거래소코드,회계년도,유동부채비율(IFRS연결),매출액순이익률(IFRS연결),총자본증가율(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),금융비용 대 총비용비율(IFRS연결),설비투자효율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),자본금회전률(IFRS연결),총자본투자효율(IFRS연결),총자본회전률(IFRS연결),유동자산증가율(IFRS연결),매출액증가율(IFRS연결),매출액총이익률(IFRS연결),자기자본순이익률(IFRS연결),매출채권회전률(IFRS연결),재고자산회전률(IFRS연결),유형자산회전율(IFRS연결),매출원가 대 매출액비율(IFRS연결),부채비율(IFRS연결),유동비율(IFRS연결),자기자본배율(IFRS연결),당좌비율(IFRS연결),순운전자본비율(IFRS연결),현금비율(IFRS연결),타인자본회전률(IFRS연결),총자본순이익률(IFRS연결),영업이익증가율,순이익증가율,매출액,총자산영업이익율,총자산부채비율,log총자산,순이익률,현금비율,이자비용/부채,자기자본비율,고정비율,매출액대판매관리비,유보이익대총자산비율,통계청 한국표준산업분류 10차(대분류)
0,(주)CMG제약,58820,17-Dec,11.11,6.83,-1.27,6.34,22.67,0.0,999999999.0,-2.82,84.87,2.4,0.76,12.51,0.38,3.12,25.98,43.43,2.85,3.01,5.81,2.51,56.57,11.87,746.28,179.9,673.66,64.2,34.9,3.86,2.57,-9.94630660758641,64.06674016650318,41535588,0.014133946883767082,0.10609044399972682,8.03968434077042,0.02570778916990504,0.03467252021670932,0.0,0.8939095560002732,0.2586593113420466,0.3967544410349987,-0.0310100417591232,제조업
1,(주)ES큐브,50120,17-Dec,5.08,4.86,0.69,4.97,5.37,27.01,2.86,1.0,64.47,1.68,1.15,7.08,0.34,0.3,4.25,27.1,2.41,13.8,4.53,3.83,72.9,45.42,1378.49,174.95,1153.05,44.7,654.97,1.07,1.65,4.048002791247366,-91.93203097323914,35745794,0.021307254332539563,0.312348525689789,8.024863688244848,0.01646879279965436,0.2290067616072435,0.02359376924250818,0.687651474310211,0.5180174625062556,0.20811777184191235,0.23511908547765462,도매 및 소매업
2,(주)가비아,79940,17-Dec,29.43,8.32,6.03,16.48,57.21,7.2,53.72,-0.3,108.49,14.36,17.17,36.5,0.9,9.75,13.74,48.1,8.88,7.68,76.48,2.62,51.9,33.52,224.87,823.81,219.17,27.52,101.89,3.67,7.46,1.2980686748117956,-4.992019304979473,116217941,0.09809545080325809,0.25105274613663203,8.125099126683406,0.07461715948977383,0.22459466672200623,0.007472993706176463,0.7489472538633679,0.5043326795948113,0.37165019986027803,0.39633969754252174,정보통신업
3,(주)강스템바이오텍,217730,17-Dec,26.01,-126.27,0.0,-116.58,-46.87,30.19,-8.15,4.59,-10.95,-22.56,1.12,-1.37,0.19,0.0,0.0,35.68,-46.19,20.71,5.29,0.69,64.32,92.79,396.43,302.13,369.34,40.0,61.46,0.4,-24.43,-28.739371723143336,-38.93286749092661,9132939,-0.24805097694282804,0.48129888572377805,7.673932604153962,-0.243699447514933,0.08292160302874348,0.061021404200283354,0.5187011142762219,0.4651152941253242,1.6420515893076697,-0.7583664468674206,제조업
5,(주)고려시멘트,198440,17-Dec,29.88,1.15,0.0,3.61,8.22,8.83,16.79,-0.15,31.72,2.73,28.76,12.85,0.76,0.0,0.0,13.33,1.3,2.96,26.32,1.83,86.67,49.73,166.67,2539.18,152.27,13.3,2.92,2.28,0.87,0.0,0.0,87660276,0.05208109793425394,0.3321278387374978,8.064014557917147,0.01732390348012049,0.0058215789527277925,0.009338561557317604,0.6678721612625022,0.6673937678813948,0.09888233753678805,0.28213259358990667,제조업
6,(주)고영테크놀러지,98460,17-Dec,20.01,13.15,5.17,12.09,56.02,0.0,6141.06,-0.2,259.28,11.98,29.74,32.01,1.02,4.17,18.38,64.65,16.76,3.33,9.72,8.27,35.35,27.21,499.8,2357.41,430.73,62.9,142.52,4.98,13.36,31.835407555481947,-10.058050245573124,203368626,0.2185649596789014,0.2138822343065285,8.3121929861037,0.13356079612453195,0.22422173061656625,0.00017430052098704643,0.7861177656934715,0.2136903796128,0.4313359475615477,0.7635989708654979,제조업
9,(주)골프존,215000,17-Dec,27.41,39.68,34.99,28.89,89.92,12.81,52.52,-0.5,123.58,22.79,63.77,34.14,0.91,78.87,-7.77,65.5,51.19,13.6,15.52,2.77,34.5,33.95,309.32,6032.07,284.03,42.84,212.93,3.04,35.96,-17.57143081288123,117.29654342175476,200105321,0.16964995397449123,0.2534392120887214,8.404273250322788,0.35957610991609584,0.43580343671497057,0.01084169862146607,0.7465607879112786,0.36693200375086893,0.467810343733938,0.46224861757635544,정보통신업
10,(주)골프존뉴딘홀딩스,121440,17-Dec,24.1,-10.1,-0.56,3.44,2.88,27.5,2.81,2.29,5.95,0.97,9.98,3.08,0.28,14.69,-12.13,47.15,-4.2,40.0,5.76,0.54,52.85,51.02,97.2,2338.7,63.78,-0.45,39.77,0.88,-2.85,-50.21717433004418,-850.408680981307,213756902,0.02428384915206202,0.3378558973889668,8.878809477164499,-0.02845250722200036,0.06347052976400165,0.026829441561113547,0.6621441026110332,0.844880538279404,0.3852764389334198,0.253387019875371,도매 및 소매업
11,(주)광림,14200,17-Dec,68.22,-17.46,-9.38,-4.42,-5.96,31.48,-3.19,2.23,17.01,-2.87,5.58,4.75,0.62,-11.28,54.85,2.98,-15.47,8.29,5.6,2.09,97.02,93.2,106.4,386.08,76.78,2.26,43.08,1.25,-10.79,-7301.0606960308305,-1144.4919407694406,135191558,-0.056526482592317455,0.4824013920751819,8.318185051900803,-0.1078568682768968,0.1521369853718359,0.03578178763653906,0.5175986031184729,0.6242601815319045,0.12131477913731861,0.08452277436868261,제조업
13,(주)구영테크,53270,17-Dec,146.65,0.91,12.15,8.27,9.45,50.83,2.37,1.48,44.88,6.63,15.14,20.27,0.85,18.47,1.03,15.17,2.61,8.56,7.51,1.46,84.83,235.08,78.36,555.59,53.8,-9.47,15.72,1.25,0.77,31.20573278259841,-46.61464335581821,149833357,0.032176421263912396,0.7015606833577703,8.271864094047707,0.007673581014338854,0.06880931935486999,0.01999623261895772,0.298439311294913,0.6570213960525242,0.11374575288999231,0.167268574002128,제조업
14,(주)국보디자인,66620,17-Dec,62.05,4.93,3.74,5.61,23.35,0.0,3543.84,-0.57,1017.16,9.25,72.18,46.62,1.68,5.15,34.38,16.98,14.33,402.51,0.0,36.13,83.02,65.57,220.15,2647.57,220.15,45.03,43.1,3.96,8.26,120.75618440280644,24.238845944849828,270658405,0.1438244584991305,0.39601661291829204,8.215853507144129,0.08264883336399922,0.16151691810734545,9.589996540076809e-05,0.6039833931651096,0.17491734406104717,0.08406310530057251,0.5438602340899047,건설업
16,(주)국영지앤엠,6050,17-Dec,21.36,2.28,0.65,-2.43,-11.33,4.16,17.57,-0.06,30.51,-2.31,3.64,14.66,0.95,1.42,22.16,5.03,2.78,16.26,17.33,1.98,94.97,25.64,266.88,301.54,238.44,28.37,64.83,4.4,2.17,466.7860228665581,271.36520338363124,62861661,0.021406108860053997,0.20407342690508684,7.820208042840748,0.0217288179847911,0.1102408856071501,0.005612129808156901,0.7959265730949131,0.5462187698758334,0.02788930442038431,0.31325178701527095,제조업
17,(주)그래디언트,35080,17-Dec,131.53,-1.8,-12.97,4.24,14.15,3.48,13.33,-0.05,291.89,8.33,116.42,9.5,1.83,-13.12,-7.91,10.89,-20.37,5.08,27.68,60.89,89.11,143.09,125.96,1039.09,111.83,14.05,13.71,3.09,-3.28,-39.77134416174787,-63.11946600211975,3541486629,0.015376973665866996,0.5886377057297453,9.256364913970236,-0.03281783045663158,0.07420499135079717,0.001948419438598773,0.4113622948244146,0.3184506340144652,0.10048710111902558,0.09704161993724965,도매 및 소매업
18,(주)글로벌스탠다드테크놀로지,83450,17-Dec,27.73,9.68,14.53,5.57,37.61,3.91,212.37,-0.02,170.14,8.86,34.95,54.44,1.7,7.6,79.3,34.43,23.25,11.73,7.1,5.38,65.57,30.82,266.78,1587.44,161.51,35.36,87.97,6.17,16.43,356.35911691687625,239.25642540569496,162835484,0.23211711635856364,0.23559523815220387,8.01030279396461,0.16429415247688933,0.18649562728931,0.003974094811842142,0.7644047618477962,0.43441367555909227,0.2076084964380368,0.5981208286832579,제조업
19,(주)금빛,45890,17-Dec,88.33,-7.4,-0.97,2.57,2.89,40.85,0.03,2.47,41.76,1.71,5.57,15.17,0.66,19.48,-3.64,25.85,-11.04,4.07,3.83,1.8,74.15,144.41,135.38,340.41,83.6,12.78,9.98,1.19,-4.9,-98.58086251396035,-303.9995886651542,72904350,0.0005366463761239134,0.5908528694416348,8.039957250371652,-0.04897559629989653,0.036057280174151385,0.033445312107758085,0.4091471305583651,0.5107600008161476,0.2576892874019177,0.005472941180719904,제조업
