,회사명,거래소코드,회계년도,유동부채비율(IFRS연결),매출액순이익률(IFRS연결),총자본증가율(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),금융비용 대 총비용비율(IFRS연결),설비투자효율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),자본금회전률(IFRS연결),총자본투자효율(IFRS연결),총자본회전률(IFRS연결),유동자산증가율(IFRS연결),매출액증가율(IFRS연결),매출액총이익률(IFRS연결),자기자본순이익률(IFRS연결),매출채권회전률(IFRS연결),재고자산회전률(IFRS연결),유형자산회전율(IFRS연결),매출원가 대 매출액비율(IFRS연결),부채비율(IFRS연결),유동비율(IFRS연결),자기자본배율(IFRS연결),당좌비율(IFRS연결),순운전자본비율(IFRS연결),현금비율(IFRS연결),타인자본회전률(IFRS연결),총자본순이익률(IFRS연결),영업이익증가율,순이익증가율,총자산영업이익율,총자산부채비율,log총자산,순이익률,현금비율,이자비용/부채,고정비율,매출액대판매관리비,유보이익대총자산비율,통계청 한국표준산업분류 10차(대분류),업종,규모,층화
0,(주)CMG제약,58820,19-Dec,5.17,5.2,68.07,3.16,15.35,0.15,303.0,-1.91,114.6,0.96,0.95,9.9,0.38,85.06,17.56,49.34,2.15,3.12,6.65,2.83,50.66,6.71,1618.07,259.42,1520.84,73.49,199.55,5.21,1.99,1.400176024799246,-49.692268425559924,0.0169835505449906,0.0628624842768142,8.283850910131505,0.01990181129438,0.0966474979922043,0.0007644026246417,0.2167000308349062,0.4489534861089004,0.0262933091728212,제조업,2,0,2
1,(주)ES큐브,50120,19-Dec,310.83,-31.5,312.66,84.97,9.52,14.85,-0.68,5.02,-3.22,8.0,1.04,-0.12,0.15,696.75,29.45,18.75,-21.76,0.42,5.18,2.69,81.25,526.65,156.01,129.45,152.69,27.78,48.38,0.2,-4.78,-116.08523947490316,-124.90947423997731,-0.0090809102349206,0.8404200305078892,8.666479304160358,-0.0477723698459113,0.2399943632911448,0.0177222068038412,0.2261580427808786,0.2474251822408127,0.0129665253810964,서비스업,1,0,1
2,(주)가비아,79940,19-Dec,31.93,14.23,32.01,19.83,45.28,17.58,34.25,0.03,209.21,14.71,21.91,66.57,0.84,11.3,15.21,48.99,15.73,7.19,64.12,2.21,51.01,48.13,201.58,1081.94,195.45,21.9,66.71,2.9,12.01,30.503683958978577,37.5586701134574,0.1351139757610839,0.3249212190886187,8.300847838248396,0.1201194902150645,0.1438269631178486,0.0135619204726018,0.5654137284199443,0.3298558951527521,0.3533358496218596,서비스업,1,1,4
3,(주)강스템바이오텍,217730,19-Dec,29.98,-439.57,55.26,-206.5,-27.6,27.22,-21.5,1.89,-255.84,-10.91,0.53,-11.83,0.06,13.09,-34.49,-7.07,-41.61,5.06,5.5,0.26,107.07,65.37,268.99,587.15,267.69,30.63,37.29,0.17,-28.25,-97.9970017023305,-84.65379117662533,-0.2478483319066495,0.3953097372395409,8.055545353531919,-0.282539015209001,0.0675872327525564,0.0305314774476706,0.5124402279873032,3.7853325059654415,-0.6795944609228965,제조업,2,0,2
4,(주)고려시멘트,198440,19-Dec,31.66,4.79,-0.39,3.24,5.95,9.5,-1.08,-0.22,32.34,1.81,22.18,12.76,0.56,-6.73,-17.32,7.5,3.88,2.53,12.68,1.42,92.5,43.63,166.4,2765.65,141.61,14.64,15.86,1.78,2.67,-111.9770542,-26.89324645,-0.0036109726676346,0.3037747151343191,8.103925350832618,0.0266835204440814,0.0349511156217636,0.010682718234282,0.6332422336537183,0.0815252792368539,0.2992590665923158,제조업,2,0,2
5,(주)고영테크놀러지,98460,19-Dec,15.76,13.31,9.47,11.47,41.2,4.22,112.96,-0.65,225.13,8.34,32.41,26.43,0.76,-0.78,-6.78,63.58,12.59,2.73,6.56,6.31,36.42,25.37,587.8,3552.55,493.22,61.34,70.8,3.86,10.11,-27.514335851725,-30.134934631495135,0.1140427571996621,0.2023452154748752,8.484984465195161,0.1011381552919282,0.0890277746206457,0.0051313566844521,0.2608472769308109,0.4857342979473719,0.6870316470948339,제조업,2,1,5
6,(주)골프존,215000,19-Dec,30.53,6.56,23.04,14.65,32.16,18.21,32.18,-0.42,88.99,11.58,78.73,31.88,0.87,-43.74,24.31,62.0,8.21,14.18,23.11,2.48,38.0,56.26,133.84,6375.45,116.02,6.61,26.2,2.88,5.72,14.69172201711447,-20.595859369172988,0.113995495639086,0.3600415311841077,8.494971305624084,0.0572276659853742,0.0511802426716124,0.0116907678207436,0.7385355276913168,0.4892800952208769,0.406851308151266,서비스업,1,1,4
7,(주)골프존뉴딘홀딩스,121440,19-Dec,19.08,-15.22,0.21,-3.17,-2.2,32.57,-0.36,3.4,8.42,-0.93,10.69,3.91,0.3,25.76,2.64,38.58,-6.89,21.94,4.59,0.62,61.42,73.61,147.33,2094.93,90.62,5.2,39.3,0.74,-4.49,-425.3756178027716,-362.95110257340195,-0.0046745799300195,0.4240001020112838,8.890076968278606,-0.0449326349905534,0.0431880793117123,0.0324720670730075,0.838074468752411,0.4016463167634821,0.1834672398876485,서비스업,1,1,4
8,(주)광림,14200,19-Dec,163.61,-9.6,34.43,-8.75,-7.89,42.5,-2.3,2.21,38.25,-5.06,5.69,8.91,0.66,52.04,6.79,7.47,-7.84,6.61,5.51,2.44,92.53,178.13,77.11,295.96,58.44,-13.46,12.03,1.12,-6.36,-951.5289700084443,50.75887451162176,-0.0498915915910889,0.6404611844782672,8.402206776595673,-0.0636274366697861,0.0707639147375733,0.03684715880408,0.5463727926759457,0.1500213239461169,-0.0460588482542442,제조업,2,1,5
9,(주)구영테크,53270,19-Dec,124.6,1.47,1.97,2.37,4.05,45.39,1.33,1.69,40.32,2.64,17.49,23.26,1.13,15.51,18.24,9.61,4.8,10.58,7.0,1.81,90.39,188.09,78.53,543.33,40.02,-9.29,6.93,1.72,1.66,-2.5970887188366176,-42.78769883995774,0.0256104932037146,0.6528813424792104,8.31506698250828,0.0165589405165276,0.0299618618635642,0.0293781010725969,0.6603324967915336,0.0734102235369039,0.1926083480721315,제조업,2,1,5
